Team,variable,value,value_org
Arsenal,GFPerGame,58.26316165102622,2.142857142857143
Arsenal,PassAccuracy,60.14678547333823,86.0
Arsenal,AveragePossession,63.28391850925513,62.1
Arsenal,GAPerGame,62.2774072007457,0.8571428571428571
Arsenal,GoalRate,58.76331067708866,0.14150943396226415
Arsenal,ShotsPerGame,54.529180139424994,15.142857142857142
Aston Villa,GFPerGame,63.96189382414776,2.5714285714285716
Aston Villa,PassAccuracy,54.551131719659054,83.0
Aston Villa,AveragePossession,48.46301769314404,48.6
Aston Villa,GAPerGame,49.0758940816643,1.5714285714285714
Aston Villa,GoalRate,66.72187574820434,0.17307692307692307
Aston Villa,ShotsPerGame,53.53919540949604,14.857142857142858
Bournemouth,GFPerGame,39.26738774062111,0.7142857142857143
Bournemouth,PassAccuracy,41.12156271082904,75.8
Bournemouth,AveragePossession,42.20530401523046,42.9
Bournemouth,GAPerGame,38.51468358639919,2.142857142857143
Bournemouth,GoalRate,38.27449684631171,0.060240963855421686
Bournemouth,ShotsPerGame,43.14435574524195,11.857142857142858
Brentford,GFPerGame,48.76527469582366,1.4285714285714286
Brentford,PassAccuracy,48.20939079882265,79.6
Brentford,AveragePossession,50.988060054407406,50.9
Brentford,GAPerGame,51.71619670548058,1.4285714285714286
Brentford,GoalRate,47.80391636009142,0.09803921568627451
Brentford,ShotsPerGame,52.549210679567075,14.571428571428571
Brighton,GFPerGame,65.86147121518826,2.7142857142857144
Brighton,PassAccuracy,62.944612350177806,87.5
Brighton,AveragePossession,63.28391850925513,62.1
Brighton,GAPerGame,41.15498621021546,2.0
Brighton,GoalRate,64.02836394252662,0.1623931623931624
Brighton,ShotsPerGame,59.974096154034285,16.714285714285715
Burnley,GFPerGame,41.16696513166162,0.8571428571428571
Burnley,PassAccuracy,50.07460871671571,80.6
Burnley,AveragePossession,50.32935335146913,50.3
Burnley,GAPerGame,35.874380962582904,2.2857142857142856
Burnley,GoalRate,43.256000897140055,0.08
Burnley,ShotsPerGame,39.1844168255261,10.714285714285714
Chelsea,GFPerGame,43.066542522702136,1.0
Chelsea,PassAccuracy,59.58722009797031,85.7
Chelsea,AveragePossession,64.60133191513167,63.3
Chelsea,GAPerGame,62.2774072007457,0.8571428571428571
Chelsea,GoalRate,40.388836800931585,0.06862745098039216
Chelsea,ShotsPerGame,52.549210679567075,14.571428571428571
Crystal Palace,GFPerGame,43.066542522702136,1.0
Crystal Palace,PassAccuracy,45.78460750556168,78.3
Crystal Palace,AveragePossession,43.08357961914816,43.7
Crystal Palace,GAPerGame,59.63710457692942,1.0
Crystal Palace,GoalRate,42.69575044155909,0.07777777777777778
Crystal Palace,ShotsPerGame,46.60930229999331,12.857142857142858
Everton,GFPerGame,41.16696513166162,0.8571428571428571
Everton,PassAccuracy,41.12156271082904,75.8
Everton,AveragePossession,45.169484178452684,45.6
Everton,GAPerGame,46.43559145784802,1.7142857142857142
Everton,GoalRate,37.09324588574944,0.05555555555555555
Everton,ShotsPerGame,55.51916486935396,15.428571428571429
Fulham,GFPerGame,39.26738774062111,0.7142857142857143
Fulham,PassAccuracy,54.551131719659054,83.0
Fulham,AveragePossession,50.988060054407406,50.9
Fulham,GAPerGame,46.43559145784802,1.7142857142857142
Fulham,GoalRate,42.186431845576394,0.07575757575757576
Fulham,ShotsPerGame,34.729485540845786,9.428571428571429
League Average,GFPerGame,49.99999999999999,1.5214285714285716
