date,player_team,value,pk,rank,player,team
2024-08-24,mohamedsalah_liverpool,1.0,0.0,7.0,Mohamed Salah,Liverpool
2024-08-24,yoanewissa_brentford,1.0,0.0,8.0,Yoane Wissa,Brentford
2024-08-24,alexanderisak_newcastleutd,0.0,0.0,9.0,Alexander Isak,Newcastle Utd
2024-08-24,brennanjohnson_tottenham,0.0,0.0,10.0,Brennan Johnson,Tottenham
2024-08-24,codygakpo_liverpool,0.0,0.0,11.0,Cody Gakpo,Liverpool
2024-08-24,colepalmer_chelsea,0.0,0.0,12.0,Cole Palmer,Chelsea
2024-08-24,evanilson_bournemouth,0.0,0.0,13.0,Evanilson,Bournemouth
2024-08-24,jeanphilippemateta_crystalpalace,0.0,0.0,14.0,Jean-Philippe Mateta,Crystal Palace
2024-08-24,jorgenstrandlarsen_wolves,0.0,0.0,15.0,Jorgen Strand Larsen,Wolves
2024-08-24,justinkluivert_bournemouth,0.0,0.0,16.0,Justin Kluivert,Bournemouth
2024-08-24,kevinschade_brentford,0.0,0.0,17.0,Kevin Schade,Brentford
2024-08-24,liamdelap_ipswichtown,0.0,0.0,18.0,Liam Delap,Ipswich Town
2024-08-24,luisdiaz_liverpool,0.0,0.0,19.0,Luis Diaz,Liverpool
2024-08-24,matheuscunha_wolves,0.0,0.0,20.0,Matheus Cunha,Wolves
2024-08-24,nicolasjackson_chelsea,0.0,0.0,21.0,Nicolas Jackson,Chelsea
2024-08-24,olliewatkins_astonvilla,0.0,0.0,22.0,Ollie Watkins,Aston Villa
2024-08-24,rauljimenez_fulham,0.0,0.0,23.0,Raul Jimenez,Fulham
2024-08-25,erlinghaaland_manchestercity,4.0,1.0,1.0,Erling Haaland,Manchester City
2024-08-25,dannywelbeck_brighton,2.0,0.0,2.0,Danny Welbeck,Brighton
2024-08-25,mohamedsalah_liverpool,2.0,0.0,3.0,Mohamed Salah,Liverpool
2024-08-25,bryanmbeumo_brentford,1.0,0.0,4.0,Bryan Mbeumo,Brentford
2024-08-25,chriswood_notthamforest,1.0,0.0,5.0,Chris Wood,Nott'ham Forest
2024-08-25,colepalmer_chelsea,1.0,0.0,6.0,Cole Palmer,Chelsea
2024-08-25,jarrodbowen_westham,1.0,0.0,7.0,Jarrod Bowen,West Ham
2024-08-25,joaopedro_brighton,1.0,0.0,8.0,Joao Pedro,Brighton
2024-08-25,jorgenstrandlarsen_wolves,1.0,0.0,9.0,Jorgen Strand Larsen,Wolves
2024-08-25,luisdiaz_liverpool,1.0,0.0,10.0,Luis Diaz,Liverpool
2024-08-25,matheuscunha_wolves,1.0,0.0,11.0,Matheus Cunha,Wolves
2024-08-25,nicolasjackson_chelsea,1.0,0.0,12.0,Nicolas Jackson,Chelsea
2024-08-25,yoanewissa_brentford,1.0,0.0,13.0,Yoane Wissa,Brentford
2024-08-25,alexanderisak_newcastleutd,0.0,0.0,14.0,Alexander Isak,Newcastle Utd
2024-08-25,brennanjohnson_tottenham,0.0,0.0,15.0,Brennan Johnson,Tottenham
2024-08-25,codygakpo_liverpool,0.0,0.0,16.0,Cody Gakpo,Liverpool
2024-08-25,evanilson_bournemouth,0.0,0.0,17.0,Evanilson,Bournemouth
2024-08-25,jeanphilippemateta_crystalpalace,0.0,0.0,18.0,Jean-Philippe Mateta,Crystal Palace
2024-08-25,justinkluivert_bournemouth,0.0,0.0,19.0,Justin Kluivert,Bournemouth
2024-08-25,kevinschade_brentford,0.0,0.0,20.0,Kevin Schade,Brentford
2024-08-25,liamdelap_ipswichtown,0.0,0.0,21.0,Liam Delap,Ipswich Town
2024-08-25,olliewatkins_astonvilla,0.0,0.0,22.0,Ollie Watkins,Aston Villa
2024-08-25,rauljimenez_fulham,0.0,0.0,23.0,Raul Jimenez,Fulham
2024-08-31,erlinghaaland_manchestercity,7.0,1.0,1.0,Erling Haaland,Manchester City
2024-08-31,bryanmbeumo_brentford,3.0,0.0,2.0,Bryan Mbeumo,Brentford
2024-08-31,chriswood_notthamforest,2.0,0.0,3.0,Chris Wood,Nott'ham Forest
2024-08-31,dannywelbeck_brighton,2.0,0.0,4.0,Danny Welbeck,Brighton
2024-08-31,joaopedro_brighton,2.0,0.0,5.0,Joao Pedro,Brighton
2024-08-31,mohamedsalah_liverpool,2.0,0.0,6.0,Mohamed Salah,Liverpool
2024-08-31,yoanewissa_brentford,2.0,0.0,7.0,Yoane Wissa,Brentford
2024-08-31,colepalmer_chelsea,1.0,0.0,8.0,Cole Palmer,Chelsea
2024-08-31,jarrodbowen_westham,1.0,0.0,9.0,Jarrod Bowen,West Ham
2024-08-31,jorgenstrandlarsen_wolves,1.0,0.0,10.0,Jorgen Strand Larsen,Wolves
2024-08-31,liamdelap_ipswichtown,1.0,0.0,11.0,Liam Delap,Ipswich Town
2024-08-31,luisdiaz_liverpool,1.0,0.0,12.0,Luis Diaz,Liverpool
2024-08-31,matheuscunha_wolves,1.0,0.0,13.0,Matheus Cunha,Wolves
2024-08-31,nicolasjackson_chelsea,1.0,0.0,14.0,Nicolas Jackson,Chelsea
2024-08-31,alexanderisak_newcastleutd,0.0,0.0,15.0,Alexander Isak,Newcastle Utd
2024-08-31,brennanjohnson_tottenham,0.0,0.0,16.0,Brennan Johnson,Tottenham
2024-08-31,codygakpo_liverpool,0.0,0.0,17.0,Cody Gakpo,Liverpool
2024-08-31,evanilson_bournemouth,0.0,0.0,18.0,Evanilson,Bournemouth
2024-08-31,jeanphilippemateta_crystalpalace,0.0,0.0,19.0,Jean-Philippe Mateta,Crystal Palace
2024-08-31,justinkluivert_bournemouth,0.0,0.0,20.0,Justin Kluivert,Bournemouth
2024-08-31,kevinschade_brentford,0.0,0.0,21.0,Kevin Schade,Brentford
2024-08-31,olliewatkins_astonvilla,0.0,0.0,22.0,Ollie Watkins,Aston Villa
2024-08-31,rauljimenez_fulham,0.0,0.0,23.0,Raul Jimenez,Fulham
2024-09-01,erlinghaaland_manchestercity,7.0,1.0,1.0,Erling Haaland,Manchester City
2024-09-01,bryanmbeumo_brentford,3.0,0.0,2.0,Bryan Mbeumo,Brentford
2024-09-01,luisdiaz_liverpool,3.0,0.0,3.0,Luis Diaz,Liverpool
2024-09-01,mohamedsalah_liverpool,3.0,0.0,4.0,Mohamed Salah,Liverpool
2024-09-01,chriswood_notthamforest,2.0,0.0,5.0,Chris Wood,Nott'ham Forest
2024-09-01,dannywelbeck_brighton,2.0,0.0,6.0,Danny Welbeck,Brighton
2024-09-01,joaopedro_brighton,2.0,0.0,7.0,Joao Pedro,Brighton
2024-09-01,nicolasjackson_chelsea,2.0,0.0,8.0,Nicolas Jackson,Chelsea
2024-09-01,yoanewissa_brentford,2.0,0.0,9.0,Yoane Wissa,Brentford
2024-09-01,alexanderisak_newcastleutd,1.0,0.0,10.0,Alexander Isak,Newcastle Utd
2024-09-01,colepalmer_chelsea,1.0,0.0,11.0,Cole Palmer,Chelsea
2024-09-01,jarrodbowen_westham,1.0,0.0,12.0,Jarrod Bowen,West Ham
2024-09-01,jorgenstrandlarsen_wolves,1.0,0.0,13.0,Jorgen Strand Larsen,Wolves
2024-09-01,liamdelap_ipswichtown,1.0,0.0,14.0,Liam Delap,Ipswich Town
2024-09-01,matheuscunha_wolves,1.0,0.0,15.0,Matheus Cunha,Wolves
2024-09-01,brennanjohnson_tottenham,0.0,0.0,16.0,Brennan Johnson,Tottenham
2024-09-01,codygakpo_liverpool,0.0,0.0,17.0,Cody Gakpo,Liverpool
2024-09-01,evanilson_bournemouth,0.0,0.0,18.0,Evanilson,Bournemouth
2024-09-01,jeanphilippemateta_crystalpalace,0.0,0.0,19.0,Jean-Philippe Mateta,Crystal Palace
2024-09-01,justinkluivert_bournemouth,0.0,0.0,20.0,Justin Kluivert,Bournemouth
2024-09-01,kevinschade_brentford,0.0,0.0,21.0,Kevin Schade,Brentford
2024-09-01,olliewatkins_astonvilla,0.0,0.0,22.0,Ollie Watkins,Aston Villa
2024-09-01,rauljimenez_fulham,0.0,0.0,23.0,Raul Jimenez,Fulham
2024-09-14,erlinghaaland_manchestercity,9.0,1.0,1.0,Erling Haaland,Manchester City
2024-09-14,bryanmbeumo_brentford,3.0,0.0,2.0,Bryan Mbeumo,Brentford
2024-09-14,luisdiaz_liverpool,3.0,0.0,3.0,Luis Diaz,Liverpool
2024-09-14,mohamedsalah_liverpool,3.0,0.0,4.0,Mohamed Salah,Liverpool
2024-09-14,yoanewissa_brentford,3.0,0.0,5.0,Yoane Wissa,Brentford
2024-09-14,chriswood_notthamforest,2.0,0.0,6.0,Chris Wood,Nott'ham Forest
2024-09-14,dannywelbeck_brighton,2.0,0.0,7.0,Danny Welbeck,Brighton
2024-09-14,jeanphilippemateta_crystalpalace,2.0,1.0,8.0,Jean-Philippe Mateta,Crystal Palace
2024-09-14,joaopedro_brighton,2.0,0.0,9.0,Joao Pedro,Brighton
2024-09-14,nicolasjackson_chelsea,2.0,0.0,10.0,Nicolas Jackson,Chelsea
2024-09-14,olliewatkins_astonvilla,2.0,0.0,11.0,Ollie Watkins,Aston Villa
2024-09-14,alexanderisak_newcastleutd,1.0,0.0,12.0,Alexander Isak,Newcastle Utd
2024-09-14,colepalmer_chelsea,1.0,0.0,13.0,Cole Palmer,Chelsea
2024-09-14,jarrodbowen_westham,1.0,0.0,14.0,Jarrod Bowen,West Ham
2024-09-14,jorgenstrandlarsen_wolves,1.0,0.0,15.0,Jorgen Strand Larsen,Wolves
2024-09-14,liamdelap_ipswichtown,1.0,0.0,16.0,Liam Delap,Ipswich Town
2024-09-14,matheuscunha_wolves,1.0,0.0,17.0,Matheus Cunha,Wolves
2024-09-14,rauljimenez_fulham,1.0,0.0,18.0,Raul Jimenez,Fulham
2024-09-14,brennanjohnson_tottenham,0.0,0.0,19.0,Brennan Johnson,Tottenham
2024-09-14,codygakpo_liverpool,0.0,0.0,20.0,Cody Gakpo,Liverpool
2024-09-14,evanilson_bournemouth,0.0,0.0,21.0,Evanilson,Bournemouth
2024-09-14,justinkluivert_bournemouth,0.0,0.0,22.0,Justin Kluivert,Bournemouth
2024-09-14,kevinschade_brentford,0.0,0.0,23.0,Kevin Schade,Brentford
2024-09-21,erlinghaaland_manchestercity,9.0,1.0,1.0,Erling Haaland,Manchester City
2024-09-21,luisdiaz_liverpool,5.0,0.0,2.0,Luis Diaz,Liverpool
2024-09-21,bryanmbeumo_brentford,4.0,0.0,3.0,Bryan Mbeumo,Brentford
2024-09-21,nicolasjackson_chelsea,4.0,0.0,4.0,Nicolas Jackson,Chelsea
2024-09-21,mohamedsalah_liverpool,3.0,0.0,5.0,Mohamed Salah,Liverpool
2024-09-21,olliewatkins_astonvilla,3.0,0.0,6.0,Ollie Watkins,Aston Villa
2024-09-21,yoanewissa_brentford,3.0,0.0,7.0,Yoane Wissa,Brentford
2024-09-21,chriswood_notthamforest,2.0,0.0,8.0,Chris Wood,Nott'ham Forest
2024-09-21,colepalmer_chelsea,2.0,0.0,9.0,Cole Palmer,Chelsea
2024-09-21,dannywelbeck_brighton,2.0,0.0,10.0,Danny Welbeck,Brighton
2024-09-21,jeanphilippemateta_crystalpalace,2.0,1.0,11.0,Jean-Philippe Mateta,Crystal Palace
2024-09-21,joaopedro_brighton,2.0,0.0,12.0,Joao Pedro,Brighton
2024-09-21,matheuscunha_wolves,2.0,0.0,13.0,Matheus Cunha,Wolves
2024-09-21,rauljimenez_fulham,2.0,0.0,14.0,Raul Jimenez,Fulham
2024-09-21,alexanderisak_newcastleutd,1.0,0.0,15.0,Alexander Isak,Newcastle Utd
2024-09-21,brennanjohnson_tottenham,1.0,0.0,16.0,Brennan Johnson,Tottenham
2024-09-21,jarrodbowen_westham,1.0,0.0,17.0,Jarrod Bowen,West Ham
2024-09-21,jorgenstrandlarsen_wolves,1.0,0.0,18.0,Jorgen Strand Larsen,Wolves
2024-09-21,liamdelap_ipswichtown,1.0,0.0,19.0,Liam Delap,Ipswich Town
2024-09-21,codygakpo_liverpool,0.0,0.0,20.0,Cody Gakpo,Liverpool
2024-09-21,evanilson_bournemouth,0.0,0.0,21.0,Evanilson,Bournemouth
2024-09-21,justinkluivert_bournemouth,0.0,0.0,22.0,Justin Kluivert,Bournemouth
2024-09-21,kevinschade_brentford,0.0,0.0,23.0,Kevin Schade,Brentford
2024-09-22,erlinghaaland_manchestercity,10.0,1.0,1.0,Erling Haaland,Manchester City
2024-09-22,luisdiaz_liverpool,5.0,0.0,2.0,Luis Diaz,Liverpool
2024-09-22,bryanmbeumo_brentford,4.0,0.0,3.0,Bryan Mbeumo,Brentford
2024-09-22,nicolasjackson_chelsea,4.0,0.0,4.0,Nicolas Jackson,Chelsea
2024-09-22,chriswood_notthamforest,3.0,1.0,5.0,Chris Wood,Nott'ham Forest
2024-09-22,dannywelbeck_brighton,3.0,0.0,6.0,Danny Welbeck,Brighton
2024-09-22,mohamedsalah_liverpool,3.0,0.0,7.0,Mohamed Salah,Liverpool
2024-09-22,olliewatkins_astonvilla,3.0,0.0,8.0,Ollie Watkins,Aston Villa
2024-09-22,yoanewissa_brentford,3.0,0.0,9.0,Yoane Wissa,Brentford
2024-09-22,colepalmer_chelsea,2.0,0.0,10.0,Cole Palmer,Chelsea
2024-09-22,jeanphilippemateta_crystalpalace,2.0,1.0,11.0,Jean-Philippe Mateta,Crystal Palace
2024-09-22,joaopedro_brighton,2.0,0.0,12.0,Joao Pedro,Brighton
2024-09-22,matheuscunha_wolves,2.0,0.0,13.0,Matheus Cunha,Wolves
2024-09-22,rauljimenez_fulham,2.0,0.0,14.0,Raul Jimenez,Fulham
2024-09-22,alexanderisak_newcastleutd,1.0,0.0,15.0,Alexander Isak,Newcastle Utd
2024-09-22,brennanjohnson_tottenham,1.0,0.0,16.0,Brennan Johnson,Tottenham
2024-09-22,jarrodbowen_westham,1.0,0.0,17.0,Jarrod Bowen,West Ham
2024-09-22,jorgenstrandlarsen_wolves,1.0,0.0,18.0,Jorgen Strand Larsen,Wolves
2024-09-22,liamdelap_ipswichtown,1.0,0.0,19.0,Liam Delap,Ipswich Town
2024-09-22,codygakpo_liverpool,0.0,0.0,20.0,Cody Gakpo,Liverpool
2024-09-22,evanilson_bournemouth,0.0,0.0,21.0,Evanilson,Bournemouth
2024-09-22,justinkluivert_bournemouth,0.0,0.0,22.0,Justin Kluivert,Bournemouth
2024-09-22,kevinschade_brentford,0.0,0.0,23.0,Kevin Schade,Brentford
2024-09-28,erlinghaaland_manchestercity,10.0,1.0,1.0,Erling Haaland,Manchester City
2024-09-28,colepalmer_chelsea,6.0,1.0,2.0,Cole Palmer,Chelsea
2024-09-28,bryanmbeumo_brentford,5.0,0.0,3.0,Bryan Mbeumo,Brentford
2024-09-28,luisdiaz_liverpool,5.0,0.0,4.0,Luis Diaz,Liverpool
2024-09-28,mohamedsalah_liverpool,4.0,1.0,5.0,Mohamed Salah,Liverpool
2024-09-28,nicolasjackson_chelsea,4.0,0.0,6.0,Nicolas Jackson,Chelsea
2024-09-28,chriswood_notthamforest,3.0,1.0,7.0,Chris Wood,Nott'ham Forest
2024-09-28,dannywelbeck_brighton,3.0,0.0,8.0,Danny Welbeck,Brighton
2024-09-28,olliewatkins_astonvilla,3.0,0.0,9.0,Ollie Watkins,Aston Villa
2024-09-28,rauljimenez_fulham,3.0,1.0,10.0,Raul Jimenez,Fulham
2024-09-28,yoanewissa_brentford,3.0,0.0,11.0,Yoane Wissa,Brentford
2024-09-28,jeanphilippemateta_crystalpalace,2.0,1.0,12.0,Jean-Philippe Mateta,Crystal Palace
2024-09-28,joaopedro_brighton,2.0,0.0,13.0,Joao Pedro,Brighton
2024-09-28,matheuscunha_wolves,2.0,0.0,14.0,Matheus Cunha,Wolves
2024-09-28,alexanderisak_newcastleutd,1.0,0.0,15.0,Alexander Isak,Newcastle Utd
2024-09-28,brennanjohnson_tottenham,1.0,0.0,16.0,Brennan Johnson,Tottenham
2024-09-28,jarrodbowen_westham,1.0,0.0,17.0,Jarrod Bowen,West Ham
2024-09-28,jorgenstrandlarsen_wolves,1.0,0.0,18.0,Jorgen Strand Larsen,Wolves
2024-09-28,liamdelap_ipswichtown,1.0,0.0,19.0,Liam Delap,Ipswich Town
2024-09-28,codygakpo_liverpool,0.0,0.0,20.0,Cody Gakpo,Liverpool
2024-09-28,evanilson_bournemouth,0.0,0.0,21.0,Evanilson,Bournemouth
2024-09-28,justinkluivert_bournemouth,0.0,0.0,22.0,Justin Kluivert,Bournemouth
2024-09-28,kevinschade_brentford,0.0,0.0,23.0,Kevin Schade,Brentford
2024-09-29,erlinghaaland_manchestercity,10.0,1.0,1.0,Erling Haaland,Manchester City
2024-09-29,colepalmer_chelsea,6.0,1.0,2.0,Cole Palmer,Chelsea
2024-09-29,bryanmbeumo_brentford,5.0,0.0,3.0,Bryan Mbeumo,Brentford
2024-09-29,luisdiaz_liverpool,5.0,0.0,4.0,Luis Diaz,Liverpool
2024-09-29,mohamedsalah_liverpool,4.0,1.0,5.0,Mohamed Salah,Liverpool
2024-09-29,nicolasjackson_chelsea,4.0,0.0,6.0,Nicolas Jackson,Chelsea
2024-09-29,olliewatkins_astonvilla,4.0,0.0,7.0,Ollie Watkins,Aston Villa
2024-09-29,chriswood_notthamforest,3.0,1.0,8.0,Chris Wood,Nott'ham Forest
2024-09-29,dannywelbeck_brighton,3.0,0.0,9.0,Danny Welbeck,Brighton
2024-09-29,liamdelap_ipswichtown,3.0,0.0,10.0,Liam Delap,Ipswich Town
2024-09-29,rauljimenez_fulham,3.0,1.0,11.0,Raul Jimenez,Fulham
2024-09-29,yoanewissa_brentford,3.0,0.0,12.0,Yoane Wissa,Brentford
2024-09-29,brennanjohnson_tottenham,2.0,0.0,13.0,Brennan Johnson,Tottenham
2024-09-29,jeanphilippemateta_crystalpalace,2.0,1.0,14.0,Jean-Philippe Mateta,Crystal Palace
2024-09-29,joaopedro_brighton,2.0,0.0,15.0,Joao Pedro,Brighton
2024-09-29,matheuscunha_wolves,2.0,0.0,16.0,Matheus Cunha,Wolves
2024-09-29,alexanderisak_newcastleutd,1.0,0.0,17.0,Alexander Isak,Newcastle Utd
2024-09-29,jarrodbowen_westham,1.0,0.0,18.0,Jarrod Bowen,West Ham
2024-09-29,jorgenstrandlarsen_wolves,1.0,0.0,19.0,Jorgen Strand Larsen,Wolves
2024-09-29,codygakpo_liverpool,0.0,0.0,20.0,Cody Gakpo,Liverpool
2024-09-29,evanilson_bournemouth,0.0,0.0,21.0,Evanilson,Bournemouth
2024-09-29,justinkluivert_bournemouth,0.0,0.0,22.0,Justin Kluivert,Bournemouth
2024-09-29,kevinschade_brentford,0.0,0.0,23.0,Kevin Schade,Brentford
2024-09-30,erlinghaaland_manchestercity,10.0,1.0,1.0,Erling Haaland,Manchester City
2024-09-30,colepalmer_chelsea,6.0,1.0,2.0,Cole Palmer,Chelsea
2024-09-30,bryanmbeumo_brentford,5.0,0.0,3.0,Bryan Mbeumo,Brentford
2024-09-30,luisdiaz_liverpool,5.0,0.0,4.0,Luis Diaz,Liverpool
2024-09-30,mohamedsalah_liverpool,4.0,1.0,5.0,Mohamed Salah,Liverpool
2024-09-30,nicolasjackson_chelsea,4.0,0.0,6.0,Nicolas Jackson,Chelsea
2024-09-30,olliewatkins_astonvilla,4.0,0.0,7.0,Ollie Watkins,Aston Villa
2024-09-30,chriswood_notthamforest,3.0,1.0,8.0,Chris Wood,Nott'ham Forest
2024-09-30,dannywelbeck_brighton,3.0,0.0,9.0,Danny Welbeck,Brighton
2024-09-30,liamdelap_ipswichtown,3.0,0.0,10.0,Liam Delap,Ipswich Town
2024-09-30,rauljimenez_fulham,3.0,1.0,11.0,Raul Jimenez,Fulham
2024-09-30,yoanewissa_brentford,3.0,0.0,12.0,Yoane Wissa,Brentford
2024-09-30,brennanjohnson_tottenham,2.0,0.0,13.0,Brennan Johnson,Tottenham
2024-09-30,jeanphilippemateta_crystalpalace,2.0,1.0,14.0,Jean-Philippe Mateta,Crystal Palace
2024-09-30,joaopedro_brighton,2.0,0.0,15.0,Joao Pedro,Brighton
2024-09-30,matheuscunha_wolves,2.0,0.0,16.0,Matheus Cunha,Wolves
2024-09-30,alexanderisak_newcastleutd,1.0,0.0,17.0,Alexander Isak,Newcastle Utd
2024-09-30,evanilson_bournemouth,1.0,0.0,18.0,Evanilson,Bournemouth
2024-09-30,jarrodbowen_westham,1.0,0.0,19.0,Jarrod Bowen,West Ham
2024-09-30,jorgenstrandlarsen_wolves,1.0,0.0,20.0,Jorgen Strand Larsen,Wolves
2024-09-30,codygakpo_liverpool,0.0,0.0,21.0,Cody Gakpo,Liverpool
2024-09-30,justinkluivert_bournemouth,0.0,0.0,22.0,Justin Kluivert,Bournemouth
2024-09-30,kevinschade_brentford,0.0,0.0,23.0,Kevin Schade,Brentford
2024-10-05,erlinghaaland_manchestercity,10.0,1.0,1.0,Erling Haaland,Manchester City
2024-10-05,bryanmbeumo_brentford,6.0,1.0,2.0,Bryan Mbeumo,Brentford
2024-10-05,colepalmer_chelsea,6.0,1.0,3.0,Cole Palmer,Chelsea
2024-10-05,luisdiaz_liverpool,5.0,0.0,4.0,Luis Diaz,Liverpool
2024-10-05,liamdelap_ipswichtown,4.0,0.0,5.0,Liam Delap,Ipswich Town
2024-10-05,mohamedsalah_liverpool,4.0,1.0,6.0,Mohamed Salah,Liverpool
2024-10-05,nicolasjackson_chelsea,4.0,0.0,7.0,Nicolas Jackson,Chelsea
2024-10-05,olliewatkins_astonvilla,4.0,0.0,8.0,Ollie Watkins,Aston Villa
2024-10-05,chriswood_notthamforest,3.0,1.0,9.0,Chris Wood,Nott'ham Forest
2024-10-05,dannywelbeck_brighton,3.0,0.0,10.0,Danny Welbeck,Brighton
2024-10-05,matheuscunha_wolves,3.0,0.0,11.0,Matheus Cunha,Wolves
2024-10-05,rauljimenez_fulham,3.0,1.0,12.0,Raul Jimenez,Fulham
2024-10-05,yoanewissa_brentford,3.0,0.0,13.0,Yoane Wissa,Brentford
2024-10-05,brennanjohnson_tottenham,2.0,0.0,14.0,Brennan Johnson,Tottenham
2024-10-05,jarrodbowen_westham,2.0,0.0,15.0,Jarrod Bowen,West Ham
2024-10-05,jeanphilippemateta_crystalpalace,2.0,1.0,16.0,Jean-Philippe Mateta,Crystal Palace
2024-10-05,joaopedro_brighton,2.0,0.0,17.0,Joao Pedro,Brighton
2024-10-05,jorgenstrandlarsen_wolves,2.0,0.0,18.0,Jorgen Strand Larsen,Wolves
2024-10-05,alexanderisak_newcastleutd,1.0,0.0,19.0,Alexander Isak,Newcastle Utd
2024-10-05,evanilson_bournemouth,1.0,0.0,20.0,Evanilson,Bournemouth
2024-10-05,codygakpo_liverpool,0.0,0.0,21.0,Cody Gakpo,Liverpool
2024-10-05,justinkluivert_bournemouth,0.0,0.0,22.0,Justin Kluivert,Bournemouth
2024-10-05,kevinschade_brentford,0.0,0.0,23.0,Kevin Schade,Brentford
2024-10-06,erlinghaaland_manchestercity,10.0,1.0,1.0,Erling Haaland,Manchester City
