date,player_team,value,pk,rank,player,team
2024-08-17,chriswood_notthamforest,1.0,0.0,1.0,Chris Wood,Nott'ham Forest
2024-08-17,dannywelbeck_brighton,1.0,0.0,2.0,Danny Welbeck,Brighton
2024-08-17,mohamedsalah_liverpool,1.0,0.0,3.0,Mohamed Salah,Liverpool
2024-08-17,alexanderisak_newcastleutd,0.0,0.0,4.0,Alexander Isak,Newcastle Utd
2024-08-17,brennanjohnson_tottenham,0.0,0.0,5.0,Brennan Johnson,Tottenham
2024-08-17,bryanmbeumo_brentford,0.0,0.0,6.0,Bryan Mbeumo,Brentford
2024-08-17,codygakpo_liverpool,0.0,0.0,7.0,Cody Gakpo,Liverpool
2024-08-17,colepalmer_chelsea,0.0,0.0,8.0,Cole Palmer,Chelsea
2024-08-17,erlinghaaland_manchestercity,0.0,0.0,9.0,Erling Haaland,Manchester City
2024-08-17,evanilson_bournemouth,0.0,0.0,10.0,Evanilson,Bournemouth
2024-08-17,jarrodbowen_westham,0.0,0.0,11.0,Jarrod Bowen,West Ham
2024-08-17,jeanphilippemateta_crystalpalace,0.0,0.0,12.0,Jean-Philippe Mateta,Crystal Palace
2024-08-17,joaopedro_brighton,0.0,0.0,13.0,Joao Pedro,Brighton
2024-08-17,jorgenstrandlarsen_wolves,0.0,0.0,14.0,Jorgen Strand Larsen,Wolves
2024-08-17,justinkluivert_bournemouth,0.0,0.0,15.0,Justin Kluivert,Bournemouth
2024-08-17,kevinschade_brentford,0.0,0.0,16.0,Kevin Schade,Brentford
2024-08-17,liamdelap_ipswichtown,0.0,0.0,17.0,Liam Delap,Ipswich Town
2024-08-17,luisdiaz_liverpool,0.0,0.0,18.0,Luis Diaz,Liverpool
2024-08-17,matheuscunha_wolves,0.0,0.0,19.0,Matheus Cunha,Wolves
2024-08-17,nicolasjackson_chelsea,0.0,0.0,20.0,Nicolas Jackson,Chelsea
2024-08-17,olliewatkins_astonvilla,0.0,0.0,21.0,Ollie Watkins,Aston Villa
2024-08-17,rauljimenez_fulham,0.0,0.0,22.0,Raul Jimenez,Fulham
2024-08-17,yoanewissa_brentford,0.0,0.0,23.0,Yoane Wissa,Brentford
2024-08-18,bryanmbeumo_brentford,1.0,0.0,1.0,Bryan Mbeumo,Brentford
2024-08-18,chriswood_notthamforest,1.0,0.0,2.0,Chris Wood,Nott'ham Forest
2024-08-18,dannywelbeck_brighton,1.0,0.0,3.0,Danny Welbeck,Brighton
2024-08-18,erlinghaaland_manchestercity,1.0,0.0,4.0,Erling Haaland,Manchester City
2024-08-18,mohamedsalah_liverpool,1.0,0.0,5.0,Mohamed Salah,Liverpool
2024-08-18,yoanewissa_brentford,1.0,0.0,6.0,Yoane Wissa,Brentford
2024-08-18,alexanderisak_newcastleutd,0.0,0.0,7.0,Alexander Isak,Newcastle Utd
2024-08-18,brennanjohnson_tottenham,0.0,0.0,8.0,Brennan Johnson,Tottenham
2024-08-18,codygakpo_liverpool,0.0,0.0,9.0,Cody Gakpo,Liverpool
2024-08-18,colepalmer_chelsea,0.0,0.0,10.0,Cole Palmer,Chelsea
2024-08-18,evanilson_bournemouth,0.0,0.0,11.0,Evanilson,Bournemouth
2024-08-18,jarrodbowen_westham,0.0,0.0,12.0,Jarrod Bowen,West Ham
2024-08-18,jeanphilippemateta_crystalpalace,0.0,0.0,13.0,Jean-Philippe Mateta,Crystal Palace
2024-08-18,joaopedro_brighton,0.0,0.0,14.0,Joao Pedro,Brighton
2024-08-18,jorgenstrandlarsen_wolves,0.0,0.0,15.0,Jorgen Strand Larsen,Wolves
2024-08-18,justinkluivert_bournemouth,0.0,0.0,16.0,Justin Kluivert,Bournemouth
2024-08-18,kevinschade_brentford,0.0,0.0,17.0,Kevin Schade,Brentford
2024-08-18,liamdelap_ipswichtown,0.0,0.0,18.0,Liam Delap,Ipswich Town
2024-08-18,luisdiaz_liverpool,0.0,0.0,19.0,Luis Diaz,Liverpool
2024-08-18,matheuscunha_wolves,0.0,0.0,20.0,Matheus Cunha,Wolves
2024-08-18,nicolasjackson_chelsea,0.0,0.0,21.0,Nicolas Jackson,Chelsea
2024-08-18,olliewatkins_astonvilla,0.0,0.0,22.0,Ollie Watkins,Aston Villa
2024-08-18,rauljimenez_fulham,0.0,0.0,23.0,Raul Jimenez,Fulham
2024-08-24,erlinghaaland_manchestercity,4.0,1.0,1.0,Erling Haaland,Manchester City
2024-08-24,dannywelbeck_brighton,2.0,0.0,2.0,Danny Welbeck,Brighton
2024-08-24,bryanmbeumo_brentford,1.0,0.0,3.0,Bryan Mbeumo,Brentford
2024-08-24,chriswood_notthamforest,1.0,0.0,4.0,Chris Wood,Nott'ham Forest
2024-08-24,jarrodbowen_westham,1.0,0.0,5.0,Jarrod Bowen,West Ham
2024-08-24,joaopedro_brighton,1.0,0.0,6.0,Joao Pedro,Brighton
