date,team,player,value,player_team,cum_sum,pk
2024-08-17,Bournemouth,Antoine Semenyo,1,antoinesemenyo_bournemouth,1.0,0.0
2024-08-17,Nott'ham Forest,Chris Wood,1,chriswood_notthamforest,1.0,0.0
2024-08-17,Brighton,Danny Welbeck,1,dannywelbeck_brighton,1.0,0.0
2024-08-17,Brighton,Kaoru Mitoma,1,kaorumitoma_brighton,1.0,0.0
2024-08-17,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,1.0,0.0
2024-08-18,Brentford,Bryan Mbeumo,1,bryanmbeumo_brentford,1.0,0.0
2024-08-18,Manchester City,Erling Haaland,1,erlinghaaland_manchestercity,1.0,0.0
2024-08-18,Brentford,Yoane Wissa,1,yoanewissa_brentford,1.0,0.0
2024-08-24,Brighton,Danny Welbeck,1,dannywelbeck_brighton,2.0,0.0
2024-08-24,Manchester City,Erling Haaland,3,erlinghaaland_manchestercity,4.0,1.0
2024-08-24,West Ham,Jarrod Bowen,1,jarrodbowen_westham,1.0,0.0
2024-08-24,Brighton,Joao Pedro,1,joaopedro_brighton,1.0,0.0
2024-08-25,Chelsea,Cole Palmer,1,colepalmer_chelsea,1.0,0.0
2024-08-25,Wolves,Jorgen Strand Larsen,1,jorgenstrandlarsen_wolves,1.0,0.0
2024-08-25,Liverpool,Luis Diaz,1,luisdiaz_liverpool,1.0,0.0
2024-08-25,Wolves,Matheus Cunha,1,matheuscunha_wolves,1.0,0.0
2024-08-25,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,2.0,0.0
2024-08-25,Chelsea,Nicolas Jackson,1,nicolasjackson_chelsea,1.0,0.0
2024-08-31,Bournemouth,Antoine Semenyo,1,antoinesemenyo_bournemouth,2.0,0.0
2024-08-31,Brentford,Bryan Mbeumo,2,bryanmbeumo_brentford,3.0,0.0
2024-08-31,Nott'ham Forest,Chris Wood,1,chriswood_notthamforest,2.0,0.0
2024-08-31,Manchester City,Erling Haaland,3,erlinghaaland_manchestercity,7.0,1.0
2024-08-31,Brighton,Joao Pedro,1,joaopedro_brighton,2.0,0.0
2024-08-31,Ipswich Town,Liam Delap,1,liamdelap_ipswichtown,1.0,0.0
2024-08-31,Brentford,Yoane Wissa,1,yoanewissa_brentford,2.0,0.0
