Date,Team,rank,position,CumPts
2017-08-11,West Brom,2.0,18,0.0
2017-08-12,West Brom,5.0,6,3.0
2017-08-13,West Brom,7.0,8,3.0
2017-08-19,West Brom,2.0,2,6.0
2017-08-20,West Brom,3.0,3,6.0
2017-08-21,West Brom,3.0,3,6.0
2017-08-26,West Brom,4.0,4,6.0
2017-08-27,West Brom,5.0,5,7.0
2017-09-09,West Brom,8.0,8,7.0
2017-09-10,West Brom,9.0,9,7.0
2017-09-11,West Brom,9.0,9,7.0
2017-09-15,West Brom,9.0,9,7.0
2017-09-16,West Brom,9.0,10,8.0
2017-09-17,West Brom,9.0,10,8.0
2017-09-23,West Brom,10.0,10,8.0
2017-09-24,West Brom,10.0,10,8.0
2017-09-25,West Brom,12.0,12,8.0
2017-09-30,West Brom,10.0,10,9.0
2017-10-01,West Brom,10.0,10,9.0
2017-10-14,West Brom,10.0,10,9.0
2017-10-15,West Brom,11.0,11,9.0
2017-10-16,West Brom,10.0,10,10.0
2017-10-20,West Brom,11.0,11,10.0
2017-10-21,West Brom,13.0,13,10.0
2017-10-22,West Brom,13.0,13,10.0
2017-10-28,West Brom,14.0,14,10.0
2017-10-29,West Brom,15.0,15,10.0
2017-10-30,West Brom,15.0,15,10.0
2017-11-04,West Brom,15.0,15,10.0
2017-11-05,West Brom,16.0,16,10.0
2017-11-18,West Brom,17.0,17,10.0
2017-11-19,West Brom,17.0,17,10.0
2017-11-20,West Brom,17.0,17,10.0
2017-11-24,West Brom,17.0,17,10.0
2017-11-25,West Brom,17.0,17,11.0
2017-11-26,West Brom,17.0,17,11.0
2017-11-28,West Brom,16.0,16,12.0
2017-11-29,West Brom,17.0,17,12.0
2017-12-02,West Brom,17.0,17,13.0
2017-12-03,West Brom,17.0,17,13.0
2017-12-09,West Brom,17.0,17,13.0
2017-12-10,West Brom,17.0,17,13.0
2017-12-12,West Brom,18.0,18,13.0
2017-12-13,West Brom,17.0,17,14.0
2017-12-16,West Brom,19.0,19,14.0
2017-12-17,West Brom,19.0,19,14.0
2017-12-18,West Brom,19.0,19,14.0
2017-12-22,West Brom,19.0,19,14.0
2017-12-23,West Brom,19.0,19,14.0
2017-12-26,West Brom,19.0,19,15.0
2017-12-27,West Brom,19.0,19,15.0
2017-12-28,West Brom,19.0,19,15.0
2017-12-30,West Brom,20.0,20,15.0
2017-12-31,West Brom,19.0,19,16.0
2018-01-01,West Brom,19.0,19,16.0
2018-01-02,West Brom,19.0,19,16.0
2018-01-03,West Brom,19.0,19,16.0
2018-01-04,West Brom,19.0,19,16.0
2018-01-13,West Brom,19.0,19,19.0
2018-01-14,West Brom,19.0,19,19.0
2018-01-15,West Brom,19.0,19,19.0
2018-01-20,West Brom,19.0,19,20.0
2018-01-21,West Brom,19.0,19,20.0
2018-01-22,West Brom,19.0,19,20.0
2018-01-30,West Brom,20.0,20,20.0
2018-01-31,West Brom,20.0,20,20.0
2018-02-03,West Brom,20.0,20,20.0
2018-02-04,West Brom,20.0,20,20.0
2018-02-05,West Brom,20.0,20,20.0
2018-02-10,West Brom,20.0,20,20.0
2018-02-11,West Brom,20.0,20,20.0
2018-02-12,West Brom,20.0,20,20.0
2018-02-24,West Brom,20.0,20,20.0
2018-02-25,West Brom,20.0,20,20.0
2018-03-01,West Brom,20.0,20,20.0
2018-03-03,West Brom,20.0,20,20.0
2018-03-04,West Brom,20.0,20,20.0
2018-03-05,West Brom,20.0,20,20.0
2018-03-10,West Brom,20.0,20,20.0
2018-03-11,West Brom,20.0,20,20.0
2018-03-12,West Brom,20.0,20,20.0
2018-03-17,West Brom,20.0,20,20.0
2018-03-31,West Brom,20.0,20,20.0
2018-04-01,West Brom,20.0,20,20.0
2018-04-07,West Brom,20.0,20,21.0
2018-04-08,West Brom,20.0,20,21.0
2018-04-14,West Brom,20.0,20,21.0
2018-04-15,West Brom,20.0,20,24.0
2018-04-16,West Brom,20.0,20,24.0
2018-04-17,West Brom,20.0,20,24.0
2018-04-18,West Brom,20.0,20,24.0
2018-04-19,West Brom,20.0,20,24.0
2018-04-21,West Brom,20.0,20,25.0
2018-04-22,West Brom,20.0,20,25.0
2018-04-23,West Brom,20.0,20,25.0
2018-04-28,West Brom,20.0,20,28.0
2018-04-29,West Brom,20.0,20,28.0
2018-04-30,West Brom,20.0,20,28.0
2018-05-04,West Brom,20.0,20,28.0
2018-05-05,West Brom,19.0,19,31.0
2018-05-06,West Brom,19.0,19,31.0
2018-05-08,West Brom,19.0,19,31.0
2018-05-09,West Brom,19.0,19,31.0
2018-05-10,West Brom,19.0,19,31.0
2018-05-13,West Brom,20.0,20,31.0
2017-08-11,Stoke,2.0,14,0.0
2017-08-12,Stoke,17.0,18,0.0
2017-08-13,Stoke,15.0,16,0.0
2017-08-19,Stoke,13.0,13,3.0
2017-08-20,Stoke,14.0,14,3.0
2017-08-21,Stoke,14.0,14,3.0
2017-08-26,Stoke,15.0,15,3.0
2017-08-27,Stoke,11.0,11,4.0
2017-09-09,Stoke,10.0,10,5.0
2017-09-10,Stoke,12.0,12,5.0
2017-09-11,Stoke,12.0,12,5.0
2017-09-15,Stoke,12.0,12,5.0
2017-09-16,Stoke,13.0,13,5.0
2017-09-17,Stoke,13.0,13,5.0
2017-09-23,Stoke,15.0,15,5.0
2017-09-24,Stoke,16.0,16,5.0
2017-09-25,Stoke,16.0,16,5.0
2017-09-30,Stoke,13.0,13,8.0
2017-10-01,Stoke,13.0,13,8.0
2017-10-14,Stoke,15.0,15,8.0
2017-10-15,Stoke,17.0,17,8.0
2017-10-16,Stoke,17.0,17,8.0
2017-10-20,Stoke,16.0,16,8.0
2017-10-21,Stoke,18.0,18,8.0
2017-10-22,Stoke,17.0,17,8.0
2017-10-28,Stoke,13.0,13,11.0
2017-10-29,Stoke,14.0,14,11.0
2017-10-30,Stoke,14.0,14,11.0
2017-11-04,Stoke,14.0,14,12.0
2017-11-05,Stoke,14.0,14,12.0
2017-11-18,Stoke,15.0,15,12.0
2017-11-19,Stoke,15.0,15,12.0
2017-11-20,Stoke,15.0,15,13.0
2017-11-24,Stoke,15.0,15,13.0
2017-11-25,Stoke,15.0,15,13.0
2017-11-26,Stoke,15.0,15,13.0
2017-11-28,Stoke,15.0,15,13.0
2017-11-29,Stoke,16.0,16,13.0
2017-12-02,Stoke,13.0,13,16.0
2017-12-03,Stoke,13.0,13,16.0
2017-12-09,Stoke,15.0,15,16.0
2017-12-10,Stoke,15.0,15,16.0
2017-12-12,Stoke,15.0,15,16.0
2017-12-13,Stoke,15.0,15,16.0
2017-12-16,Stoke,17.0,17,16.0
2017-12-17,Stoke,17.0,17,16.0
2017-12-18,Stoke,17.0,17,16.0
2017-12-22,Stoke,17.0,17,16.0
2017-12-23,Stoke,14.0,14,19.0
2017-12-26,Stoke,13.0,13,20.0
2017-12-27,Stoke,13.0,13,20.0
2017-12-28,Stoke,13.0,13,20.0
2017-12-30,Stoke,15.0,15,20.0
2017-12-31,Stoke,15.0,15,20.0
2018-01-01,Stoke,16.0,16,20.0
2018-01-02,Stoke,18.0,18,20.0
2018-01-03,Stoke,18.0,18,20.0
2018-01-04,Stoke,18.0,18,20.0
2018-01-13,Stoke,18.0,18,20.0
2018-01-14,Stoke,18.0,18,20.0
2018-01-15,Stoke,18.0,18,20.0
2018-01-20,Stoke,17.0,17,23.0
2018-01-21,Stoke,17.0,17,23.0
2018-01-22,Stoke,17.0,17,23.0
2018-01-30,Stoke,18.0,18,23.0
2018-01-31,Stoke,16.0,16,24.0
2018-02-03,Stoke,18.0,18,24.0
2018-02-04,Stoke,18.0,18,24.0
2018-02-05,Stoke,18.0,18,24.0
2018-02-10,Stoke,18.0,18,25.0
2018-02-11,Stoke,19.0,19,25.0
2018-02-12,Stoke,19.0,19,25.0
2018-02-24,Stoke,19.0,19,26.0
2018-02-25,Stoke,19.0,19,26.0
2018-03-01,Stoke,19.0,19,26.0
2018-03-03,Stoke,19.0,19,27.0
2018-03-04,Stoke,19.0,19,27.0
2018-03-05,Stoke,19.0,19,27.0
2018-03-10,Stoke,19.0,19,27.0
2018-03-11,Stoke,19.0,19,27.0
2018-03-12,Stoke,19.0,19,27.0
2018-03-17,Stoke,19.0,19,27.0
2018-03-31,Stoke,19.0,19,27.0
2018-04-01,Stoke,19.0,19,27.0
2018-04-07,Stoke,19.0,19,27.0
2018-04-08,Stoke,19.0,19,27.0
2018-04-14,Stoke,19.0,19,27.0
2018-04-15,Stoke,19.0,19,27.0
2018-04-16,Stoke,19.0,19,28.0
2018-04-17,Stoke,19.0,19,28.0
2018-04-18,Stoke,19.0,19,28.0
2018-04-19,Stoke,19.0,19,28.0
2018-04-21,Stoke,19.0,19,28.0
2018-04-22,Stoke,19.0,19,29.0
2018-04-23,Stoke,19.0,19,29.0
2018-04-28,Stoke,19.0,19,30.0
2018-04-29,Stoke,19.0,19,30.0
2018-04-30,Stoke,19.0,19,30.0
2018-05-04,Stoke,19.0,19,30.0
2018-05-05,Stoke,20.0,20,30.0
2018-05-06,Stoke,20.0,20,30.0
2018-05-08,Stoke,20.0,20,30.0
2018-05-09,Stoke,20.0,20,30.0
2018-05-10,Stoke,20.0,20,30.0
2018-05-13,Stoke,19.0,19,33.0
2017-08-11,Swansea,2.0,15,0.0
2017-08-12,Swansea,9.0,10,1.0
2017-08-13,Swansea,11.0,12,1.0
2017-08-19,Swansea,14.0,14,1.0
2017-08-20,Swansea,15.0,15,1.0
2017-08-21,Swansea,15.0,15,1.0
2017-08-26,Swansea,9.0,9,4.0
2017-08-27,Swansea,13.0,13,4.0
2017-09-09,Swansea,14.0,14,4.0
2017-09-10,Swansea,15.0,15,4.0
2017-09-11,Swansea,15.0,15,4.0
2017-09-15,Swansea,15.0,15,4.0
2017-09-16,Swansea,14.0,14,5.0
2017-09-17,Swansea,14.0,14,5.0
2017-09-23,Swansea,14.0,14,5.0
2017-09-24,Swansea,15.0,15,5.0
2017-09-25,Swansea,15.0,15,5.0
2017-09-30,Swansea,18.0,18,5.0
2017-10-01,Swansea,18.0,18,5.0
2017-10-14,Swansea,13.0,13,8.0
2017-10-15,Swansea,13.0,13,8.0
2017-10-16,Swansea,13.0,13,8.0
2017-10-20,Swansea,14.0,14,8.0
2017-10-21,Swansea,15.0,15,8.0
2017-10-22,Swansea,15.0,15,8.0
2017-10-28,Swansea,17.0,17,8.0
2017-10-29,Swansea,17.0,17,8.0
2017-10-30,Swansea,17.0,17,8.0
2017-11-04,Swansea,18.0,18,8.0
2017-11-05,Swansea,19.0,19,8.0
2017-11-18,Swansea,19.0,19,8.0
2017-11-19,Swansea,19.0,19,8.0
2017-11-20,Swansea,19.0,19,8.0
2017-11-24,Swansea,19.0,19,8.0
2017-11-25,Swansea,19.0,19,9.0
2017-11-26,Swansea,19.0,19,9.0
2017-11-28,Swansea,19.0,19,9.0
2017-11-29,Swansea,19.0,19,9.0
2017-12-02,Swansea,20.0,20,9.0
2017-12-03,Swansea,20.0,20,9.0
2017-12-09,Swansea,19.0,19,12.0
2017-12-10,Swansea,19.0,19,12.0
2017-12-12,Swansea,20.0,20,12.0
2017-12-13,Swansea,20.0,20,12.0
2017-12-16,Swansea,20.0,20,12.0
2017-12-17,Swansea,20.0,20,12.0
2017-12-18,Swansea,20.0,20,12.0
2017-12-22,Swansea,20.0,20,12.0
2017-12-23,Swansea,20.0,20,13.0
