Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeTeamRank,HomeTeamPosition,HomeTeamCumPts,AwayTeamRank,AwayTeamPosition,AwayTeamCumPts
2019-05-12,Watford,West Ham,1,4,11.0,11,50.0,10.0,10,52.0
2019-05-12,Leicester,Chelsea,0,0,9.0,9,52.0,3.0,3,72.0
2019-05-12,Burnley,Arsenal,1,3,15.0,15,40.0,5.0,5,70.0
2019-05-12,Crystal Palace,Bournemouth,5,3,12.0,12,49.0,14.0,14,45.0
2019-05-12,Fulham,Newcastle,0,4,19.0,19,26.0,13.0,13,45.0
2019-05-12,Brighton,Man City,1,4,17.0,17,36.0,1.0,1,98.0
2019-05-12,Liverpool,Wolves,2,0,2.0,2,97.0,7.0,7,57.0
2019-05-12,Man United,Cardiff,0,2,6.0,6,66.0,18.0,18,34.0
2019-05-12,Southampton,Huddersfield,1,1,16.0,16,39.0,20.0,20,16.0
2019-05-12,Tottenham,Everton,2,2,4.0,4,71.0,8.0,8,54.0
2019-05-06,Man City,Leicester,1,0,1.0,1,95.0,9.0,9,51.0
2019-05-05,Huddersfield,Man United,1,1,20.0,20,15.0,6.0,6,66.0
2019-05-05,Chelsea,Watford,3,0,3.0,3,71.0,10.0,10,50.0
2019-05-05,Arsenal,Brighton,1,1,5.0,5,67.0,17.0,17,36.0
2019-05-04,Wolves,Fulham,1,0,7.0,7,57.0,19.0,19,26.0
2019-05-04,West Ham,Southampton,3,0,11.0,11,49.0,16.0,16,38.0
2019-05-04,Newcastle,Liverpool,2,3,14.0,14,42.0,1.0,1,94.0
2019-05-04,Cardiff,Crystal Palace,2,3,18.0,18,31.0,12.0,12,46.0
2019-05-04,Bournemouth,Tottenham,1,0,13.0,13,45.0,3.0,3,70.0
2019-05-03,Everton,Burnley,2,0,8.0,8,53.0,15.0,15,40.0
2019-04-28,Burnley,Man City,0,1,15.0,15,40.0,1.0,1,92.0
2019-04-28,Leicester,Arsenal,3,0,8.0,8,51.0,5.0,5,66.0
2019-04-28,Man United,Chelsea,1,1,6.0,6,65.0,4.0,4,68.0
2019-04-27,Watford,Wolves,1,2,9.0,9,50.0,7.0,7,54.0
2019-04-27,Tottenham,West Ham,0,1,3.0,3,70.0,11.0,11,46.0
2019-04-27,Southampton,Bournemouth,3,3,16.0,16,38.0,14.0,14,42.0
2019-04-27,Fulham,Cardiff,1,0,19.0,19,26.0,18.0,18,31.0
2019-04-27,Crystal Palace,Everton,0,0,12.0,12,43.0,8.0,8,50.0
2019-04-27,Brighton,Newcastle,1,1,17.0,17,35.0,13.0,13,42.0
2019-04-26,Liverpool,Huddersfield,5,0,1.0,1,91.0,20.0,20,14.0
2019-04-24,Wolves,Arsenal,3,1,7.0,7,51.0,5.0,5,66.0
2019-04-24,Man United,Man City,0,2,6.0,6,64.0,1.0,1,89.0
2019-04-23,Tottenham,Brighton,1,0,3.0,3,70.0,17.0,17,34.0
2019-04-23,Watford,Southampton,1,1,7.0,7,50.0,16.0,16,37.0
2019-04-22,Chelsea,Burnley,2,2,4.0,4,67.0,15.0,15,40.0
2019-04-21,Everton,Man United,4,0,7.0,7,49.0,6.0,6,64.0
2019-04-21,Cardiff,Liverpool,0,2,18.0,18,31.0,1.0,1,88.0
2019-04-21,Arsenal,Crystal Palace,2,3,4.0,4,66.0,12.0,12,42.0
2019-04-20,Newcastle,Southampton,3,1,12.0,12,41.0,16.0,16,36.0
2019-04-20,Huddersfield,Watford,1,2,20.0,20,14.0,7.0,7,49.0
2019-04-20,Man City,Tottenham,1,0,1.0,1,86.0,3.0,3,67.0
2019-04-20,Bournemouth,Fulham,0,1,13.0,13,41.0,19.0,19,23.0
2019-04-20,West Ham,Leicester,2,2,11.0,11,43.0,8.0,8,48.0
2019-04-20,Wolves,Brighton,0,0,9.0,9,48.0,17.0,17,34.0
2019-04-16,Brighton,Cardiff,0,2,17.0,17,33.0,18.0,18,31.0
2019-04-15,Watford,Arsenal,0,1,10.0,10,46.0,4.0,4,66.0
2019-04-14,Crystal Palace,Man City,1,3,13.0,13,39.0,2.0,2,83.0
2019-04-14,Liverpool,Chelsea,2,0,1.0,1,85.0,4.0,4,66.0
2019-04-13,Tottenham,Huddersfield,4,0,3.0,3,67.0,20.0,20,14.0
2019-04-13,Southampton,Wolves,3,1,16.0,16,36.0,8.0,8,47.0
2019-04-13,Man United,West Ham,2,1,5.0,5,64.0,11.0,11,42.0
2019-04-13,Fulham,Everton,2,0,19.0,19,20.0,9.0,9,46.0
2019-04-13,Burnley,Cardiff,2,0,14.0,14,39.0,18.0,18,28.0
2019-04-13,Brighton,Bournemouth,0,5,17.0,17,33.0,12.0,12,41.0
2019-04-12,Leicester,Newcastle,0,1,7.0,7,47.0,13.0,13,38.0
2019-04-08,Chelsea,West Ham,2,0,3.0,3,66.0,11.0,11,42.0
2019-04-07,Everton,Arsenal,1,0,9.0,9,46.0,4.0,4,63.0
2019-04-06,Newcastle,Crystal Palace,0,1,15.0,15,35.0,12.0,12,39.0
2019-04-06,Huddersfield,Leicester,1,4,20.0,20,14.0,7.0,7,47.0
2019-04-06,Bournemouth,Burnley,1,3,13.0,13,38.0,14.0,14,36.0
2019-04-05,Southampton,Liverpool,1,3,16.0,16,33.0,1.0,1,82.0
2019-04-03,Tottenham,Crystal Palace,2,0,3.0,3,64.0,13.0,13,36.0
2019-04-03,Man City,Cardiff,2,0,1.0,1,80.0,18.0,18,28.0
2019-04-03,Chelsea,Brighton,3,0,5.0,5,63.0,15.0,15,33.0
2019-04-02,Wolves,Man United,2,1,7.0,7,47.0,5.0,5,61.0
2019-04-02,Watford,Fulham,4,1,8.0,8,46.0,19.0,19,17.0
2019-04-01,Arsenal,Newcastle,2,0,3.0,3,63.0,14.0,14,35.0
2019-03-31,Liverpool,Tottenham,2,1,1.0,1,79.0,3.0,3,61.0
2019-03-31,Cardiff,Chelsea,1,2,18.0,18,28.0,6.0,6,60.0
2019-03-30,Man United,Watford,2,1,4.0,4,61.0,10.0,10,43.0
2019-03-30,Leicester,Bournemouth,2,0,8.0,8,44.0,12.0,12,38.0
2019-03-30,Fulham,Man City,0,2,19.0,19,17.0,1.0,1,77.0
2019-03-30,Crystal Palace,Huddersfield,2,0,13.0,13,36.0,20.0,20,14.0
2019-03-30,Burnley,Wolves,2,0,17.0,17,33.0,7.0,7,44.0
2019-03-30,Brighton,Southampton,0,1,15.0,15,33.0,16.0,16,33.0
2019-03-30,West Ham,Everton,0,2,11.0,11,42.0,9.0,9,43.0
2019-03-17,Everton,Chelsea,2,0,11.0,11,40.0,6.0,6,57.0
2019-03-17,Fulham,Liverpool,1,2,19.0,19,17.0,1.0,1,76.0
2019-03-16,West Ham,Huddersfield,4,3,9.0,9,42.0,20.0,20,14.0
2019-03-16,Burnley,Leicester,1,2,17.0,17,30.0,10.0,10,41.0
2019-03-16,Bournemouth,Newcastle,2,2,11.0,11,38.0,13.0,13,35.0
2019-03-10,Liverpool,Burnley,4,2,2.0,2,73.0,17.0,17,30.0
2019-03-10,Chelsea,Wolves,1,1,6.0,6,57.0,7.0,7,44.0
2019-03-10,Arsenal,Man United,2,0,4.0,4,60.0,5.0,5,58.0
2019-03-09,Crystal Palace,Brighton,1,2,14.0,14,33.0,15.0,15,33.0
2019-03-09,Leicester,Fulham,3,1,10.0,10,38.0,19.0,19,17.0
2019-03-09,Huddersfield,Bournemouth,0,2,20.0,20,14.0,12.0,12,37.0
2019-03-09,Cardiff,West Ham,2,0,18.0,18,28.0,9.0,9,39.0
2019-03-09,Man City,Watford,3,1,1.0,1,74.0,8.0,8,43.0
2019-03-09,Newcastle,Everton,3,2,13.0,13,34.0,11.0,11,37.0
2019-03-09,Southampton,Tottenham,2,1,16.0,16,30.0,3.0,3,61.0
2019-03-03,Fulham,Chelsea,1,2,19.0,19,17.0,6.0,6,56.0
2019-03-03,Everton,Liverpool,0,0,10.0,10,37.0,2.0,2,70.0
2019-03-03,Watford,Leicester,2,1,8.0,8,43.0,11.0,11,35.0
2019-03-02,Wolves,Cardiff,2,0,7.0,7,43.0,18.0,18,25.0
2019-03-02,West Ham,Newcastle,2,0,9.0,9,39.0,14.0,14,31.0
2019-03-02,Tottenham,Arsenal,1,1,3.0,3,61.0,5.0,5,57.0
2019-03-02,Man United,Southampton,3,2,4.0,4,58.0,17.0,17,27.0
2019-03-02,Burnley,Crystal Palace,1,3,16.0,16,30.0,13.0,13,33.0
2019-03-02,Brighton,Huddersfield,1,0,15.0,15,30.0,20.0,20,14.0
2019-03-02,Bournemouth,Man City,0,1,12.0,12,34.0,1.0,1,71.0
2019-02-27,Crystal Palace,Man United,1,3,14.0,14,30.0,5.0,5,55.0
2019-02-27,Arsenal,Bournemouth,5,1,4.0,4,56.0,12.0,12,34.0
2019-02-27,Chelsea,Tottenham,2,0,6.0,6,53.0,3.0,3,60.0
2019-02-27,Liverpool,Watford,5,0,1.0,1,69.0,8.0,8,40.0
2019-02-27,Man City,West Ham,1,0,2.0,2,68.0,10.0,10,36.0
2019-02-27,Southampton,Fulham,2,0,17.0,17,27.0,19.0,19,17.0
2019-02-26,Newcastle,Burnley,2,0,13.0,13,31.0,15.0,15,30.0
2019-02-26,Leicester,Brighton,2,1,11.0,11,35.0,16.0,16,27.0
2019-02-26,Huddersfield,Wolves,1,0,20.0,20,14.0,8.0,8,40.0
2019-02-26,Cardiff,Everton,0,3,17.0,17,25.0,9.0,9,36.0
2019-02-24,Man United,Liverpool,0,0,5.0,5,52.0,1.0,1,66.0
2019-02-24,Arsenal,Southampton,2,0,4.0,4,53.0,18.0,18,24.0
2019-02-23,Leicester,Crystal Palace,1,4,12.0,12,32.0,13.0,13,30.0
2019-02-23,Burnley,Tottenham,2,1,14.0,14,30.0,3.0,3,60.0
2019-02-23,Bournemouth,Wolves,1,1,10.0,10,34.0,8.0,8,40.0
2019-02-23,Newcastle,Huddersfield,2,0,15.0,15,28.0,20.0,20,11.0
2019-02-22,West Ham,Fulham,3,1,9.0,9,36.0,19.0,19,17.0
2019-02-22,Cardiff,Watford,1,5,17.0,17,25.0,7.0,7,40.0
2019-02-11,Wolves,Newcastle,1,1,7.0,7,39.0,16.0,16,25.0
