Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeTeamRank,HomeTeamPosition,HomeTeamCumPts,AwayTeamRank,AwayTeamPosition,AwayTeamCumPts
2019-02-10,Tottenham,Leicester,3,1,3.0,3,60.0,12.0,12,32.0
2019-02-10,Man City,Chelsea,6,0,1.0,1,65.0,6.0,6,50.0
2019-02-09,Huddersfield,Arsenal,1,2,20.0,20,11.0,6.0,6,50.0
2019-02-09,Crystal Palace,West Ham,1,1,13.0,13,27.0,10.0,10,33.0
2019-02-09,Fulham,Man United,0,3,19.0,19,17.0,4.0,4,51.0
2019-02-09,Brighton,Burnley,1,3,14.0,14,27.0,15.0,15,27.0
2019-02-09,Liverpool,Bournemouth,3,0,1.0,1,65.0,11.0,11,33.0
2019-02-09,Southampton,Cardiff,1,2,18.0,18,24.0,16.0,16,25.0
2019-02-09,Watford,Everton,1,0,8.0,8,37.0,9.0,9,33.0
2019-02-06,Everton,Man City,0,2,9.0,9,33.0,1.0,1,62.0
2019-02-04,West Ham,Liverpool,1,1,12.0,12,32.0,1.0,1,62.0
2019-02-03,Man City,Arsenal,3,1,2.0,2,59.0,6.0,6,47.0
2019-02-03,Leicester,Man United,0,1,11.0,11,32.0,5.0,5,48.0
2019-02-02,Tottenham,Newcastle,1,0,2.0,2,57.0,15.0,15,24.0
2019-02-02,Everton,Wolves,1,3,9.0,9,33.0,7.0,7,38.0
2019-02-02,Crystal Palace,Fulham,2,0,14.0,14,26.0,19.0,19,17.0
2019-02-02,Chelsea,Huddersfield,5,0,4.0,4,50.0,20.0,20,11.0
2019-02-02,Cardiff,Bournemouth,2,0,18.0,18,22.0,10.0,10,33.0
2019-02-02,Burnley,Southampton,1,1,17.0,17,24.0,16.0,16,24.0
2019-02-02,Brighton,Watford,0,0,13.0,13,27.0,8.0,8,34.0
2019-01-30,Liverpool,Leicester,1,1,1.0,1,61.0,11.0,11,32.0
2019-01-30,Bournemouth,Chelsea,4,0,10.0,10,33.0,5.0,5,47.0
2019-01-30,Tottenham,Watford,2,1,3.0,3,54.0,9.0,9,33.0
2019-01-30,Southampton,Crystal Palace,1,1,16.0,16,23.0,15.0,15,23.0
2019-01-29,Wolves,West Ham,3,0,7.0,7,35.0,11.0,11,31.0
2019-01-29,Newcastle,Man City,2,1,14.0,14,24.0,2.0,2,56.0
2019-01-29,Man United,Burnley,2,2,6.0,6,45.0,15.0,15,23.0
2019-01-29,Huddersfield,Everton,0,1,20.0,20,11.0,8.0,8,33.0
2019-01-29,Fulham,Brighton,4,2,19.0,19,17.0,13.0,13,26.0
2019-01-29,Arsenal,Cardiff,2,1,5.0,5,47.0,18.0,18,19.0
2019-01-20,Huddersfield,Man City,0,3,20.0,20,11.0,2.0,2,56.0
2019-01-20,Fulham,Tottenham,1,2,19.0,19,14.0,3.0,3,51.0
2019-01-19,Man United,Brighton,2,1,6.0,6,44.0,13.0,13,26.0
2019-01-19,Arsenal,Chelsea,2,0,5.0,5,44.0,4.0,4,47.0
2019-01-19,Bournemouth,West Ham,2,0,12.0,12,30.0,10.0,10,31.0
2019-01-19,Liverpool,Crystal Palace,4,3,1.0,1,60.0,14.0,14,22.0
2019-01-19,Southampton,Everton,2,1,15.0,15,22.0,11.0,11,30.0
2019-01-19,Newcastle,Cardiff,3,0,17.0,17,21.0,18.0,18,19.0
2019-01-19,Watford,Burnley,0,0,7.0,7,33.0,16.0,16,22.0
2019-01-19,Wolves,Leicester,4,3,8.0,8,32.0,9.0,9,31.0
2019-01-14,Man City,Wolves,3,0,2.0,2,53.0,11.0,11,29.0
2019-01-13,Tottenham,Man United,0,1,3.0,3,48.0,6.0,6,41.0
2019-01-13,Everton,Bournemouth,2,0,10.0,10,30.0,12.0,12,27.0
2019-01-12,Chelsea,Newcastle,2,1,4.0,4,47.0,18.0,18,18.0
2019-01-12,Brighton,Liverpool,0,1,13.0,13,26.0,1.0,1,57.0
2019-01-12,Burnley,Fulham,2,1,15.0,15,21.0,19.0,19,14.0
2019-01-12,Cardiff,Huddersfield,0,0,17.0,17,19.0,20.0,20,11.0
2019-01-12,Crystal Palace,Watford,1,2,14.0,14,22.0,7.0,7,32.0
2019-01-12,West Ham,Arsenal,1,0,9.0,9,31.0,5.0,5,41.0
2019-01-12,Leicester,Southampton,1,2,8.0,8,31.0,16.0,16,19.0
2019-01-03,Man City,Liverpool,2,1,2.0,2,50.0,1.0,1,54.0
2019-01-02,Bournemouth,Watford,3,3,12.0,12,27.0,8.0,8,29.0
2019-01-02,Wolves,Crystal Palace,0,2,9.0,9,29.0,14.0,14,22.0
2019-01-02,West Ham,Brighton,2,2,10.0,10,28.0,13.0,13,26.0
2019-01-02,Newcastle,Man United,0,2,15.0,15,18.0,6.0,6,38.0
2019-01-02,Huddersfield,Burnley,1,2,20.0,20,10.0,16.0,16,18.0
2019-01-02,Chelsea,Southampton,0,0,4.0,4,44.0,18.0,18,16.0
2019-01-01,Cardiff,Tottenham,0,3,16.0,16,18.0,2.0,2,48.0
2019-01-01,Arsenal,Fulham,4,1,5.0,5,41.0,19.0,19,14.0
2019-01-01,Everton,Leicester,0,1,10.0,10,27.0,7.0,7,31.0
2018-12-30,Southampton,Man City,1,3,17.0,17,15.0,2.0,2,47.0
2018-12-30,Man United,Bournemouth,4,1,6.0,6,35.0,12.0,12,26.0
2018-12-30,Crystal Palace,Chelsea,0,1,14.0,14,19.0,4.0,4,43.0
2018-12-30,Burnley,West Ham,2,0,18.0,18,15.0,11.0,11,27.0
2018-12-29,Tottenham,Wolves,1,3,2.0,2,45.0,7.0,7,29.0
2018-12-29,Liverpool,Arsenal,5,1,1.0,1,54.0,5.0,5,38.0
2018-12-29,Fulham,Huddersfield,1,0,18.0,18,14.0,20.0,20,10.0
2018-12-29,Watford,Newcastle,1,1,9.0,9,28.0,15.0,15,18.0
2018-12-29,Leicester,Cardiff,0,1,8.0,8,28.0,16.0,16,18.0
2018-12-29,Brighton,Everton,1,0,13.0,13,25.0,10.0,10,27.0
2018-12-27,Southampton,West Ham,1,2,16.0,16,15.0,9.0,9,27.0
2018-12-26,Watford,Chelsea,1,2,9.0,9,27.0,4.0,4,40.0
2018-12-26,Tottenham,Bournemouth,5,0,2.0,2,45.0,11.0,11,26.0
2018-12-26,Man United,Huddersfield,3,1,6.0,6,32.0,20.0,20,10.0
2018-12-26,Liverpool,Newcastle,4,0,1.0,1,51.0,15.0,15,17.0
2018-12-26,Leicester,Man City,2,1,7.0,7,28.0,3.0,3,44.0
2018-12-26,Fulham,Wolves,1,1,19.0,19,11.0,10.0,10,26.0
2018-12-26,Crystal Palace,Cardiff,0,0,14.0,14,19.0,17.0,17,15.0
2018-12-26,Burnley,Everton,1,5,18.0,18,12.0,8.0,8,27.0
2018-12-26,Brighton,Arsenal,1,1,13.0,13,22.0,5.0,5,38.0
2018-12-23,Everton,Tottenham,2,6,11.0,11,24.0,3.0,3,42.0
2018-12-22,Chelsea,Leicester,0,1,4.0,4,37.0,9.0,9,25.0
2018-12-22,Arsenal,Burnley,3,1,5.0,5,37.0,18.0,18,12.0
2018-12-22,Bournemouth,Brighton,2,0,8.0,8,26.0,13.0,13,21.0
2018-12-22,Cardiff,Man United,1,5,17.0,17,14.0,6.0,6,29.0
2018-12-22,Newcastle,Fulham,0,0,15.0,15,17.0,20.0,20,10.0
2018-12-22,Huddersfield,Southampton,1,3,19.0,19,10.0,16.0,16,15.0
2018-12-22,Man City,Crystal Palace,2,3,2.0,2,44.0,14.0,14,18.0
2018-12-22,West Ham,Watford,0,2,12.0,12,24.0,7.0,7,27.0
2018-12-21,Wolves,Liverpool,0,2,7.0,7,25.0,1.0,1,48.0
2018-12-16,Liverpool,Man United,3,1,1.0,1,45.0,6.0,6,26.0
2018-12-16,Brighton,Chelsea,1,2,13.0,13,21.0,4.0,4,37.0
2018-12-16,Southampton,Arsenal,3,2,17.0,17,12.0,5.0,5,34.0
2018-12-15,Crystal Palace,Leicester,1,0,15.0,15,15.0,12.0,12,22.0
2018-12-15,Man City,Everton,3,1,1.0,1,44.0,8.0,8,24.0
2018-12-15,Fulham,West Ham,0,2,20.0,20,9.0,9.0,9,24.0
2018-12-15,Huddersfield,Newcastle,0,1,18.0,18,10.0,14.0,14,16.0
2018-12-15,Wolves,Bournemouth,2,0,7.0,7,25.0,11.0,11,23.0
2018-12-15,Tottenham,Burnley,1,0,3.0,3,39.0,17.0,17,12.0
2018-12-15,Watford,Cardiff,3,2,10.0,10,24.0,16.0,16,14.0
2018-12-10,Everton,Watford,2,2,7.0,7,24.0,12.0,12,21.0
2018-12-09,Newcastle,Wolves,1,2,15.0,15,13.0,10.0,10,22.0
2018-12-08,West Ham,Crystal Palace,3,2,10.0,10,21.0,16.0,16,12.0
2018-12-08,Man United,Fulham,4,1,6.0,6,26.0,20.0,20,9.0
2018-12-08,Leicester,Tottenham,0,2,9.0,9,22.0,3.0,3,36.0
2018-12-08,Chelsea,Man City,2,0,4.0,4,34.0,2.0,2,41.0
2018-12-08,Cardiff,Southampton,1,0,14.0,14,14.0,19.0,19,9.0
2018-12-08,Burnley,Brighton,1,0,17.0,17,12.0,11.0,11,21.0
2018-12-08,Bournemouth,Liverpool,0,4,8.0,8,23.0,1.0,1,42.0
2018-12-08,Arsenal,Huddersfield,1,0,5.0,5,34.0,18.0,18,10.0
2018-12-05,Man United,Arsenal,2,2,8.0,8,23.0,5.0,5,31.0
2018-12-05,Everton,Newcastle,1,1,6.0,6,23.0,14.0,14,13.0
2018-12-05,Fulham,Leicester,1,1,20.0,20,9.0,9.0,9,22.0
2018-12-05,Burnley,Liverpool,1,3,19.0,19,9.0,2.0,2,39.0
2018-12-05,Tottenham,Southampton,3,1,3.0,3,33.0,18.0,18,9.0
2018-12-05,Wolves,Chelsea,2,1,12.0,12,19.0,4.0,4,31.0
2018-12-04,Bournemouth,Huddersfield,2,1,6.0,6,23.0,17.0,17,10.0
2018-12-04,Brighton,Crystal Palace,3,1,10.0,10,21.0,15.0,15,12.0
2018-12-04,Watford,Man City,1,2,11.0,11,20.0,1.0,1,41.0
2018-12-04,West Ham,Cardiff,3,1,12.0,12,18.0,16.0,16,11.0
2018-12-02,Liverpool,Everton,1,0,2.0,2,36.0,6.0,6,22.0
2018-12-02,Chelsea,Fulham,2,0,3.0,3,31.0,20.0,20,8.0
2018-12-02,Arsenal,Tottenham,4,2,4.0,4,30.0,5.0,5,30.0
2018-12-01,Man City,Bournemouth,3,1,1.0,1,38.0,9.0,9,20.0
2018-12-01,Crystal Palace,Burnley,2,0,14.0,14,12.0,19.0,19,9.0
2018-12-01,Huddersfield,Brighton,1,2,17.0,17,10.0,11.0,11,18.0
2018-12-01,Leicester,Watford,2,0,8.0,8,21.0,10.0,10,20.0
2018-12-01,Newcastle,West Ham,0,3,15.0,15,12.0,13.0,13,15.0
2018-12-01,Southampton,Man United,2,2,18.0,18,9.0,7.0,7,22.0
2018-11-30,Cardiff,Wolves,2,1,15.0,15,11.0,11.0,11,16.0
2018-11-26,Burnley,Newcastle,1,2,17.0,17,9.0,13.0,13,12.0
2018-11-25,Wolves,Huddersfield,0,2,11.0,11,16.0,14.0,14,10.0
2018-11-25,Bournemouth,Arsenal,1,2,8.0,8,20.0,5.0,5,27.0
2018-11-24,Man United,Crystal Palace,0,0,7.0,7,21.0,15.0,15,9.0
2018-11-24,Everton,Cardiff,1,0,6.0,6,22.0,18.0,18,8.0
2018-11-24,Fulham,Southampton,3,2,19.0,19,8.0,17.0,17,8.0
2018-11-24,Brighton,Leicester,1,1,12.0,12,15.0,10.0,10,18.0
2018-11-24,Tottenham,Chelsea,3,1,3.0,3,30.0,4.0,4,28.0
2018-11-24,West Ham,Man City,0,4,13.0,13,12.0,1.0,1,35.0
2018-11-24,Watford,Liverpool,0,3,9.0,9,20.0,2.0,2,33.0
2018-11-11,Man City,Man United,3,1,1.0,1,32.0,8.0,8,20.0
2018-11-11,Liverpool,Fulham,2,0,2.0,2,30.0,20.0,20,5.0
2018-11-11,Chelsea,Everton,0,0,3.0,3,28.0,9.0,9,19.0
2018-11-11,Arsenal,Wolves,1,1,5.0,5,24.0,11.0,11,16.0
2018-11-10,Leicester,Burnley,0,0,10.0,10,17.0,15.0,15,9.0
2018-11-10,Cardiff,Brighton,2,1,18.0,18,8.0,12.0,12,14.0
2018-11-10,Huddersfield,West Ham,1,1,19.0,19,7.0,13.0,13,12.0
2018-11-10,Crystal Palace,Tottenham,0,1,16.0,16,8.0,4.0,4,27.0
2018-11-10,Newcastle,Bournemouth,2,1,14.0,14,9.0,6.0,6,20.0
2018-11-10,Southampton,Watford,1,1,17.0,17,8.0,7.0,7,20.0
2018-11-05,Huddersfield,Fulham,1,0,18.0,18,6.0,20.0,20,5.0
2018-11-04,Man City,Southampton,6,1,1.0,1,29.0,16.0,16,7.0
2018-11-04,Chelsea,Crystal Palace,3,1,2.0,2,27.0,14.0,14,8.0
2018-11-03,Wolves,Tottenham,2,3,11.0,11,15.0,4.0,4,24.0
2018-11-03,West Ham,Burnley,4,2,13.0,13,11.0,15.0,15,8.0
2018-11-03,Newcastle,Watford,1,0,17.0,17,6.0,8.0,8,19.0
2018-11-03,Everton,Brighton,3,1,9.0,9,18.0,12.0,12,14.0
2018-11-03,Cardiff,Leicester,0,1,18.0,18,5.0,10.0,10,16.0
2018-11-03,Bournemouth,Man United,1,2,6.0,6,20.0,7.0,7,20.0
2018-11-03,Arsenal,Liverpool,1,1,5.0,5,23.0,1.0,1,27.0
2018-10-29,Tottenham,Man City,0,1,5.0,5,21.0,1.0,1,26.0
2018-10-28,Burnley,Chelsea,0,4,15.0,15,8.0,2.0,2,24.0
2018-10-28,Crystal Palace,Arsenal,2,2,14.0,14,8.0,4.0,4,22.0
2018-10-28,Man United,Everton,2,1,8.0,8,17.0,9.0,9,15.0
2018-10-27,Brighton,Wolves,1,0,11.0,11,14.0,9.0,9,15.0
2018-10-27,Leicester,West Ham,1,1,12.0,12,13.0,13.0,13,8.0
2018-10-27,Fulham,Bournemouth,0,3,18.0,18,5.0,6.0,6,20.0
2018-10-27,Watford,Huddersfield,3,0,7.0,7,19.0,20.0,20,3.0
2018-10-27,Liverpool,Cardiff,4,1,1.0,1,26.0,17.0,17,5.0
2018-10-27,Southampton,Newcastle,0,0,16.0,16,7.0,19.0,19,3.0
2018-10-22,Arsenal,Leicester,3,1,4.0,4,21.0,11.0,11,12.0
2018-10-21,Everton,Crystal Palace,2,0,8.0,8,15.0,15.0,15,7.0
2018-10-20,Man City,Burnley,5,0,1.0,1,23.0,13.0,13,8.0
2018-10-20,Bournemouth,Southampton,0,0,6.0,6,17.0,16.0,16,6.0
2018-10-20,Cardiff,Fulham,4,2,17.0,17,5.0,18.0,18,5.0
2018-10-20,Huddersfield,Liverpool,0,1,19.0,19,3.0,2.0,2,23.0
2018-10-20,Chelsea,Man United,2,2,3.0,3,21.0,9.0,9,14.0
2018-10-20,Newcastle,Brighton,0,1,20.0,20,2.0,12.0,12,11.0
2018-10-20,West Ham,Tottenham,0,1,15.0,15,7.0,4.0,4,21.0
2018-10-20,Wolves,Watford,0,2,8.0,8,15.0,7.0,7,16.0
2018-10-07,Southampton,Chelsea,0,3,16.0,16,5.0,2.0,2,20.0
2018-10-07,Liverpool,Man City,0,0,3.0,3,20.0,1.0,1,20.0
2018-10-07,Fulham,Arsenal,1,5,17.0,17,5.0,4.0,4,18.0
2018-10-06,Burnley,Huddersfield,1,1,12.0,12,8.0,18.0,18,3.0
2018-10-06,Watford,Bournemouth,0,4,9.0,9,13.0,5.0,5,16.0
2018-10-06,Tottenham,Cardiff,1,0,3.0,3,18.0,20.0,20,2.0
2018-10-06,Man United,Newcastle,3,2,8.0,8,13.0,19.0,19,2.0
2018-10-06,Leicester,Everton,1,2,10.0,10,12.0,11.0,11,12.0
2018-10-06,Crystal Palace,Wolves,0,1,14.0,14,7.0,7.0,7,15.0
2018-10-05,Brighton,West Ham,1,0,12.0,12,8.0,15.0,15,7.0
2018-10-01,Bournemouth,Crystal Palace,2,1,7.0,7,13.0,13.0,13,7.0
2018-09-30,Cardiff,Burnley,1,2,19.0,19,2.0,12.0,12,7.0
2018-09-29,Arsenal,Watford,2,0,5.0,5,15.0,6.0,6,13.0
2018-09-29,Wolves,Southampton,2,0,8.0,8,12.0,15.0,15,5.0
2018-09-29,West Ham,Man United,3,1,13.0,13,7.0,10.0,10,10.0
2018-09-29,Newcastle,Leicester,0,2,18.0,18,2.0,7.0,7,12.0
2018-09-29,Man City,Brighton,2,0,1.0,1,19.0,14.0,14,5.0
2018-09-29,Huddersfield,Tottenham,0,2,20.0,20,2.0,4.0,4,15.0
2018-09-29,Everton,Fulham,3,0,11.0,11,9.0,16.0,16,5.0
2018-09-29,Chelsea,Liverpool,1,1,3.0,3,17.0,2.0,2,19.0
2018-09-23,Arsenal,Everton,2,0,6.0,6,12.0,12.0,12,6.0
2018-09-23,West Ham,Chelsea,0,0,17.0,17,4.0,3.0,3,16.0
2018-09-22,Brighton,Tottenham,1,2,13.0,13,5.0,5.0,5,12.0
2018-09-22,Man United,Wolves,1,1,6.0,6,10.0,10.0,10,9.0
2018-09-22,Liverpool,Southampton,3,0,1.0,1,18.0,14.0,14,5.0
2018-09-22,Leicester,Huddersfield,3,1,8.0,8,9.0,19.0,20,2.0
2018-09-22,Fulham,Watford,1,1,15.0,15,5.0,4.0,4,13.0
2018-09-22,Crystal Palace,Newcastle,0,0,11.0,11,7.0,18.0,18,2.0
2018-09-22,Cardiff,Man City,0,5,19.0,19,2.0,2.0,2,16.0
