Date,Team,rank,position,CumPts
2022-08-05,Southampton,2.0,16,0.0
2022-08-06,Southampton,20.0,20,0.0
2022-08-07,Southampton,20.0,20,0.0
2022-08-13,Southampton,15.0,15,1.0
2022-08-14,Southampton,16.0,16,1.0
2022-08-15,Southampton,17.0,17,1.0
2022-08-20,Southampton,12.0,12,4.0
2022-08-21,Southampton,11.0,11,4.0
2022-08-22,Southampton,11.0,11,4.0
2022-08-27,Southampton,14.0,14,4.0
2022-08-28,Southampton,13.0,13,4.0
2022-08-30,Southampton,7.0,7,7.0
2022-08-31,Southampton,8.0,8,7.0
2022-09-01,Southampton,9.0,9,7.0
2022-09-03,Southampton,12.0,12,7.0
2022-09-04,Southampton,12.0,12,7.0
2022-09-16,Southampton,12.0,12,7.0
2022-09-17,Southampton,13.0,13,7.0
2022-09-18,Southampton,14.0,14,7.0
2022-10-01,Southampton,16.0,16,7.0
2022-10-02,Southampton,16.0,16,7.0
2022-10-03,Southampton,16.0,16,7.0
2022-10-08,Southampton,16.0,16,7.0
2022-10-09,Southampton,17.0,17,7.0
2022-10-10,Southampton,17.0,17,7.0
2022-10-14,Southampton,17.0,17,7.0
2022-10-15,Southampton,18.0,18,7.0
2022-10-16,Southampton,18.0,18,8.0
2022-10-18,Southampton,18.0,18,8.0
2022-10-19,Southampton,14.0,14,11.0
2022-10-20,Southampton,14.0,14,11.0
2022-10-22,Southampton,15.0,15,11.0
2022-10-23,Southampton,15.0,15,12.0
2022-10-24,Southampton,16.0,16,12.0
2022-10-29,Southampton,16.0,17,12.0
2022-10-30,Southampton,16.0,17,12.0
2022-11-05,Southampton,17.0,18,12.0
2022-11-06,Southampton,18.0,18,12.0
2022-11-12,Southampton,19.0,19,12.0
2022-11-13,Southampton,19.0,19,12.0
2022-12-26,Southampton,20.0,20,12.0
2022-12-27,Southampton,20.0,20,12.0
2022-12-28,Southampton,20.0,20,12.0
2022-12-30,Southampton,20.0,20,12.0
2022-12-31,Southampton,20.0,20,12.0
2023-01-01,Southampton,20.0,20,12.0
2023-01-02,Southampton,20.0,20,12.0
2023-01-03,Southampton,20.0,20,12.0
2023-01-04,Southampton,20.0,20,12.0
2023-01-05,Southampton,20.0,20,12.0
2023-01-12,Southampton,20.0,20,12.0
2023-01-13,Southampton,20.0,20,12.0
2023-01-14,Southampton,20.0,20,15.0
2023-01-15,Southampton,20.0,20,15.0
2023-01-18,Southampton,20.0,20,15.0
2023-01-19,Southampton,20.0,20,15.0
2023-01-21,Southampton,20.0,20,15.0
2023-01-22,Southampton,20.0,20,15.0
2023-01-23,Southampton,20.0,20,15.0
2023-02-03,Southampton,20.0,20,15.0
2023-02-04,Southampton,20.0,20,15.0
2023-02-05,Southampton,20.0,20,15.0
2023-02-08,Southampton,20.0,20,15.0
2023-02-11,Southampton,20.0,20,15.0
2023-02-12,Southampton,20.0,20,15.0
2023-02-13,Southampton,20.0,20,15.0
2023-02-15,Southampton,20.0,20,15.0
2023-02-18,Southampton,20.0,20,18.0
2023-02-19,Southampton,20.0,20,18.0
2023-02-24,Southampton,20.0,20,18.0
2023-02-25,Southampton,20.0,20,18.0
2023-02-26,Southampton,20.0,20,18.0
2023-03-01,Southampton,20.0,20,18.0
2023-03-04,Southampton,19.0,19,21.0
2023-03-05,Southampton,19.0,19,21.0
2023-03-06,Southampton,19.0,19,21.0
2023-03-11,Southampton,20.0,20,21.0
2023-03-12,Southampton,20.0,20,22.0
2023-03-15,Southampton,20.0,20,22.0
2023-03-17,Southampton,20.0,20,22.0
2023-03-18,Southampton,20.0,20,23.0
2023-03-19,Southampton,20.0,20,23.0
2023-04-01,Southampton,20.0,20,23.0
2023-04-02,Southampton,20.0,20,23.0
2023-04-03,Southampton,20.0,20,23.0
2023-04-04,Southampton,20.0,20,23.0
2023-04-05,Southampton,20.0,20,23.0
2023-04-08,Southampton,20.0,20,23.0
2023-04-09,Southampton,20.0,20,23.0
2023-04-15,Southampton,20.0,20,23.0
2023-04-16,Southampton,20.0,20,23.0
2023-04-17,Southampton,20.0,20,23.0
2023-04-21,Southampton,20.0,20,24.0
2023-04-22,Southampton,20.0,20,24.0
2023-04-23,Southampton,20.0,20,24.0
2023-04-25,Southampton,20.0,20,24.0
2023-04-26,Southampton,20.0,20,24.0
2023-04-27,Southampton,20.0,20,24.0
2023-04-29,Southampton,20.0,20,24.0
2023-04-30,Southampton,20.0,20,24.0
2023-05-01,Southampton,20.0,20,24.0
2023-05-02,Southampton,20.0,20,24.0
2023-05-03,Southampton,20.0,20,24.0
2023-05-04,Southampton,20.0,20,24.0
2023-05-06,Southampton,20.0,20,24.0
2023-05-07,Southampton,20.0,20,24.0
2023-05-08,Southampton,20.0,20,24.0
2022-08-05,Leeds,2.0,9,0.0
2022-08-06,Leeds,5.0,5,3.0
2022-08-07,Leeds,6.0,7,3.0
2022-08-13,Leeds,5.0,5,4.0
2022-08-14,Leeds,6.0,6,4.0
2022-08-15,Leeds,6.0,6,4.0
2022-08-20,Leeds,7.0,7,4.0
2022-08-21,Leeds,3.0,3,7.0
2022-08-22,Leeds,3.0,3,7.0
2022-08-27,Leeds,5.0,5,7.0
2022-08-28,Leeds,5.0,5,7.0
2022-08-30,Leeds,5.0,5,8.0
2022-08-31,Leeds,6.0,6,8.0
2022-09-01,Leeds,7.0,7,8.0
2022-09-03,Leeds,9.0,9,8.0
2022-09-04,Leeds,9.0,9,8.0
2022-09-16,Leeds,10.0,10,8.0
2022-09-17,Leeds,11.0,11,8.0
2022-09-18,Leeds,11.0,11,8.0
2022-10-01,Leeds,13.0,13,8.0
2022-10-02,Leeds,12.0,12,9.0
2022-10-03,Leeds,12.0,12,9.0
2022-10-08,Leeds,13.0,13,9.0
2022-10-09,Leeds,14.0,14,9.0
2022-10-10,Leeds,14.0,14,9.0
2022-10-14,Leeds,14.0,14,9.0
2022-10-15,Leeds,15.0,15,9.0
2022-10-16,Leeds,15.0,15,9.0
2022-10-18,Leeds,15.0,15,9.0
2022-10-19,Leeds,16.0,16,9.0
2022-10-20,Leeds,16.0,16,9.0
2022-10-22,Leeds,16.0,16,9.0
2022-10-23,Leeds,18.0,18,9.0
2022-10-24,Leeds,18.0,18,9.0
2022-10-29,Leeds,15.0,15,12.0
2022-10-30,Leeds,15.0,15,12.0
2022-11-05,Leeds,12.0,12,15.0
2022-11-06,Leeds,12.0,12,15.0
2022-11-12,Leeds,14.0,14,15.0
2022-11-13,Leeds,15.0,15,15.0
2022-12-26,Leeds,15.0,15,15.0
2022-12-27,Leeds,15.0,15,15.0
2022-12-28,Leeds,15.0,15,15.0
2022-12-30,Leeds,15.0,15,15.0
2022-12-31,Leeds,14.0,14,16.0
2023-01-01,Leeds,14.0,14,16.0
2023-01-02,Leeds,14.0,14,16.0
2023-01-03,Leeds,14.0,14,16.0
2023-01-04,Leeds,14.0,14,17.0
2023-01-05,Leeds,14.0,14,17.0
2023-01-12,Leeds,14.0,14,17.0
2023-01-13,Leeds,14.0,14,17.0
2023-01-14,Leeds,14.0,14,17.0
2023-01-15,Leeds,14.0,14,17.0
2023-01-18,Leeds,14.0,14,17.0
2023-01-19,Leeds,14.0,14,17.0
2023-01-21,Leeds,16.0,16,17.0
2023-01-22,Leeds,15.0,15,18.0
2023-01-23,Leeds,15.0,15,18.0
2023-02-03,Leeds,15.0,15,18.0
2023-02-04,Leeds,17.0,17,18.0
2023-02-05,Leeds,17.0,17,18.0
2023-02-08,Leeds,16.0,16,19.0
2023-02-11,Leeds,17.0,17,19.0
2023-02-12,Leeds,17.0,17,19.0
2023-02-13,Leeds,17.0,17,19.0
2023-02-15,Leeds,17.0,17,19.0
2023-02-18,Leeds,19.0,19,19.0
2023-02-19,Leeds,19.0,19,19.0
2023-02-24,Leeds,19.0,19,19.0
2023-02-25,Leeds,17.0,17,22.0
2023-02-26,Leeds,17.0,17,22.0
2023-03-01,Leeds,17.0,17,22.0
