Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeTeamRank,HomeTeamPosition,HomeTeamCumPts,AwayTeamRank,AwayTeamPosition,AwayTeamCumPts
2018-05-13,West Ham,Everton,3,1,13.0,13,42.0,8.0,8,49.0
2018-05-13,Burnley,Bournemouth,1,2,7.0,7,54.0,12.0,12,44.0
2018-05-13,Tottenham,Leicester,5,4,3.0,3,77.0,9.0,9,47.0
2018-05-13,Swansea,Stoke,1,2,18.0,18,33.0,19.0,19,33.0
2018-05-13,Southampton,Man City,0,1,17.0,17,36.0,1.0,1,100.0
2018-05-13,Newcastle,Chelsea,3,0,10.0,10,44.0,5.0,5,70.0
2018-05-13,Man United,Watford,1,0,2.0,2,81.0,14.0,14,41.0
2018-05-13,Liverpool,Brighton,4,0,4.0,4,75.0,15.0,15,40.0
2018-05-13,Huddersfield,Arsenal,0,1,16.0,16,37.0,6.0,6,63.0
2018-05-13,Crystal Palace,West Brom,2,0,11.0,11,44.0,20.0,20,31.0
2018-05-10,West Ham,Man United,0,0,15.0,15,39.0,2.0,2,78.0
2018-05-09,Tottenham,Newcastle,1,0,3.0,3,74.0,10.0,10,41.0
2018-05-09,Man City,Brighton,3,1,1.0,1,97.0,14.0,14,40.0
2018-05-09,Leicester,Arsenal,3,1,9.0,9,47.0,6.0,6,60.0
2018-05-09,Chelsea,Huddersfield,1,1,5.0,5,70.0,16.0,16,37.0
2018-05-08,Swansea,Southampton,0,1,18.0,18,33.0,16.0,16,36.0
2018-05-06,Man City,Huddersfield,0,0,1.0,1,94.0,16.0,16,36.0
2018-05-06,Chelsea,Liverpool,1,0,5.0,5,69.0,3.0,3,72.0
2018-05-06,Arsenal,Burnley,5,0,6.0,6,60.0,7.0,7,54.0
2018-05-05,Stoke,Crystal Palace,1,2,20.0,20,30.0,11.0,11,41.0
2018-05-05,Bournemouth,Swansea,1,0,12.0,12,41.0,18.0,18,33.0
2018-05-05,Leicester,West Ham,0,2,9.0,9,44.0,15.0,15,38.0
2018-05-05,Everton,Southampton,1,1,8.0,8,49.0,17.0,17,33.0
2018-05-05,Watford,Newcastle,2,1,13.0,13,41.0,10.0,10,41.0
2018-05-05,West Brom,Tottenham,1,0,19.0,19,31.0,4.0,4,71.0
2018-05-04,Brighton,Man United,1,0,11.0,11,40.0,2.0,2,77.0
2018-04-30,Tottenham,Watford,2,0,4.0,4,71.0,13.0,13,38.0
2018-04-29,West Ham,Man City,1,4,15.0,15,35.0,1.0,1,93.0
2018-04-29,Man United,Arsenal,2,1,2.0,2,77.0,6.0,6,57.0
2018-04-28,Liverpool,Stoke,0,0,3.0,3,72.0,19.0,19,30.0
2018-04-28,Burnley,Brighton,0,0,7.0,7,54.0,14.0,14,37.0
2018-04-28,Huddersfield,Everton,0,2,16.0,16,35.0,8.0,8,48.0
2018-04-28,Crystal Palace,Leicester,5,0,11.0,11,38.0,9.0,9,44.0
2018-04-28,Newcastle,West Brom,0,1,10.0,10,41.0,20.0,20,28.0
2018-04-28,Southampton,Bournemouth,2,1,18.0,18,32.0,12.0,12,38.0
2018-04-28,Swansea,Chelsea,0,1,17.0,17,33.0,5.0,5,66.0
2018-04-23,Everton,Newcastle,1,0,8.0,8,45.0,10.0,10,41.0
2018-04-22,Stoke,Burnley,1,1,19.0,19,29.0,7.0,7,53.0
