date,team,player,value,player_team,cum_sum,pk
2021-08-14,Manchester Utd,Bruno Fernandes,3,brunofernandes_manchesterutd,3.0,0.0
2021-08-14,Liverpool,Diogo Jota,1,diogojota_liverpool,1.0,0.0
2021-08-14,Watford,Emmanuel Dennis,1,emmanueldennis_watford,1.0,0.0
2021-08-14,Leicester City,Jamie Vardy,1,jamievardy_leicestercity,1.0,0.0
2021-08-14,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,1.0,0.0
2021-08-14,Brighton,Neal Maupay,1,nealmaupay_brighton,1.0,0.0
2021-08-14,Everton,Richarlison,1,richarlison_everton,1.0,0.0
2021-08-15,West Ham,Michail Antonio,1,michailantonio_westham,1.0,0.0
2021-08-15,West Ham,Said Benrahma,1,saidbenrahma_westham,1.0,0.0
2021-08-15,Tottenham,Son Heung-min,1,sonheungmin_tottenham,1.0,0.0
2021-08-21,Liverpool,Diogo Jota,1,diogojota_liverpool,2.0,0.0
2021-08-21,Brighton,Neal Maupay,1,nealmaupay_brighton,2.0,0.0
2021-08-21,Manchester City,Raheem Sterling,1,raheemsterling_manchestercity,1.0,0.0
2021-08-21,Leeds United,Raphinha,1,raphinha_leedsunited,1.0,0.0
2021-08-21,Manchester City,Riyad Mahrez,1,riyadmahrez_manchestercity,1.0,0.0
2021-08-21,Liverpool,Sadio Mane,1,sadiomane_liverpool,1.0,0.0
2021-08-22,Chelsea,Romelu Lukaku,1,romelulukaku_chelsea,1.0,0.0
2021-08-23,West Ham,Michail Antonio,2,michailantonio_westham,3.0,0.0
2021-08-23,West Ham,Said Benrahma,1,saidbenrahma_westham,2.0,0.0
2021-08-28,Crystal Palace,Conor Gallagher,2,conorgallagher_crystalpalace,2.0,0.0
2021-08-28,Manchester City,Gabriel Jesus,1,gabrieljesus_manchestercity,1.0,0.0
2021-08-28,Manchester City,Ilkay Gundogan,1,ilkaygundogan_manchestercity,1.0,0.0
2021-08-28,Brentford,Ivan Toney,1,ivantoney_brentford,1.0,0.0
2021-08-28,Southampton,James Ward-Prowse,1,jameswardprowse_southampton,1.0,1.0
2021-08-28,Leicester City,Jamie Vardy,1,jamievardy_leicestercity,2.0,0.0
2021-08-28,Chelsea,Kai Havertz,1,kaihavertz_chelsea,1.0,0.0
2021-08-28,West Ham,Michail Antonio,1,michailantonio_westham,4.0,0.0
2021-08-28,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,2.0,1.0
