Date,Team,rank,position,CumPts
2018-08-10,Huddersfield,2.0,11,0.0
2018-08-11,Huddersfield,20.0,20,0.0
2018-08-12,Huddersfield,19.0,19,0.0
2018-08-18,Huddersfield,18.0,18,0.0
2018-08-19,Huddersfield,20.0,20,0.0
2018-08-20,Huddersfield,20.0,20,0.0
2018-08-25,Huddersfield,18.0,18,1.0
2018-08-26,Huddersfield,19.0,19,1.0
2018-08-27,Huddersfield,19.0,19,1.0
2018-09-01,Huddersfield,17.0,17,2.0
2018-09-02,Huddersfield,17.0,17,2.0
2018-09-15,Huddersfield,17.0,17,2.0
2018-09-16,Huddersfield,18.0,18,2.0
2018-09-17,Huddersfield,18.0,18,2.0
2018-09-22,Huddersfield,19.0,20,2.0
2018-09-23,Huddersfield,19.0,20,2.0
2018-09-29,Huddersfield,20.0,20,2.0
2018-09-30,Huddersfield,20.0,20,2.0
2018-10-01,Huddersfield,20.0,20,2.0
2018-10-05,Huddersfield,20.0,20,2.0
2018-10-06,Huddersfield,18.0,18,3.0
2018-10-07,Huddersfield,18.0,18,3.0
2018-10-20,Huddersfield,19.0,19,3.0
2018-10-21,Huddersfield,19.0,19,3.0
2018-10-22,Huddersfield,19.0,19,3.0
2018-10-27,Huddersfield,20.0,20,3.0
2018-10-28,Huddersfield,20.0,20,3.0
2018-10-29,Huddersfield,20.0,20,3.0
2018-11-03,Huddersfield,20.0,20,3.0
2018-11-04,Huddersfield,20.0,20,3.0
2018-11-05,Huddersfield,18.0,18,6.0
2018-11-10,Huddersfield,19.0,19,7.0
2018-11-11,Huddersfield,19.0,19,7.0
2018-11-24,Huddersfield,20.0,20,7.0
2018-11-25,Huddersfield,14.0,14,10.0
2018-11-26,Huddersfield,15.0,15,10.0
2018-11-30,Huddersfield,16.0,16,10.0
2018-12-01,Huddersfield,17.0,17,10.0
2018-12-02,Huddersfield,17.0,17,10.0
2018-12-04,Huddersfield,17.0,17,10.0
2018-12-05,Huddersfield,17.0,17,10.0
2018-12-08,Huddersfield,18.0,18,10.0
2018-12-09,Huddersfield,18.0,18,10.0
2018-12-10,Huddersfield,18.0,18,10.0
2018-12-15,Huddersfield,18.0,18,10.0
2018-12-16,Huddersfield,19.0,19,10.0
2018-12-21,Huddersfield,19.0,19,10.0
2018-12-22,Huddersfield,19.0,19,10.0
2018-12-23,Huddersfield,19.0,19,10.0
2018-12-26,Huddersfield,20.0,20,10.0
2018-12-27,Huddersfield,20.0,20,10.0
2018-12-29,Huddersfield,20.0,20,10.0
2018-12-30,Huddersfield,20.0,20,10.0
2019-01-01,Huddersfield,20.0,20,10.0
2019-01-02,Huddersfield,20.0,20,10.0
2019-01-03,Huddersfield,20.0,20,10.0
2019-01-12,Huddersfield,20.0,20,11.0
2019-01-13,Huddersfield,20.0,20,11.0
2019-01-14,Huddersfield,20.0,20,11.0
2019-01-19,Huddersfield,20.0,20,11.0
2019-01-20,Huddersfield,20.0,20,11.0
2019-01-29,Huddersfield,20.0,20,11.0
2019-01-30,Huddersfield,20.0,20,11.0
2019-02-02,Huddersfield,20.0,20,11.0
2019-02-03,Huddersfield,20.0,20,11.0
2019-02-04,Huddersfield,20.0,20,11.0
2019-02-06,Huddersfield,20.0,20,11.0
2019-02-09,Huddersfield,20.0,20,11.0
2019-02-10,Huddersfield,20.0,20,11.0
2019-02-11,Huddersfield,20.0,20,11.0
2019-02-22,Huddersfield,20.0,20,11.0
2019-02-23,Huddersfield,20.0,20,11.0
2019-02-24,Huddersfield,20.0,20,11.0
2019-02-26,Huddersfield,20.0,20,14.0
2019-02-27,Huddersfield,20.0,20,14.0
2019-03-02,Huddersfield,20.0,20,14.0
2019-03-03,Huddersfield,20.0,20,14.0
2019-03-09,Huddersfield,20.0,20,14.0
2019-03-10,Huddersfield,20.0,20,14.0
2019-03-16,Huddersfield,20.0,20,14.0
2019-03-17,Huddersfield,20.0,20,14.0
2019-03-30,Huddersfield,20.0,20,14.0
2019-03-31,Huddersfield,20.0,20,14.0
2019-04-01,Huddersfield,20.0,20,14.0
2019-04-02,Huddersfield,20.0,20,14.0
2019-04-03,Huddersfield,20.0,20,14.0
2019-04-05,Huddersfield,20.0,20,14.0
2019-04-06,Huddersfield,20.0,20,14.0
2019-04-07,Huddersfield,20.0,20,14.0
2019-04-08,Huddersfield,20.0,20,14.0
2019-04-12,Huddersfield,20.0,20,14.0
2019-04-13,Huddersfield,20.0,20,14.0
2019-04-14,Huddersfield,20.0,20,14.0
2019-04-15,Huddersfield,20.0,20,14.0
2019-04-16,Huddersfield,20.0,20,14.0
2019-04-20,Huddersfield,20.0,20,14.0
2019-04-21,Huddersfield,20.0,20,14.0
2019-04-22,Huddersfield,20.0,20,14.0
2019-04-23,Huddersfield,20.0,20,14.0
2019-04-24,Huddersfield,20.0,20,14.0
2019-04-26,Huddersfield,20.0,20,14.0
2019-04-27,Huddersfield,20.0,20,14.0
2019-04-28,Huddersfield,20.0,20,14.0
2019-05-03,Huddersfield,20.0,20,14.0
2019-05-04,Huddersfield,20.0,20,14.0
2019-05-05,Huddersfield,20.0,20,15.0
2019-05-06,Huddersfield,20.0,20,15.0
2019-05-12,Huddersfield,20.0,20,16.0
2018-08-10,Fulham,2.0,10,0.0
2018-08-11,Fulham,17.0,19,0.0
2018-08-12,Fulham,15.0,18,0.0
2018-08-18,Fulham,19.0,19,0.0
2018-08-19,Fulham,18.0,18,0.0
2018-08-20,Fulham,18.0,18,0.0
2018-08-25,Fulham,19.0,19,0.0
2018-08-26,Fulham,12.0,12,3.0
2018-08-27,Fulham,11.0,11,3.0
2018-09-01,Fulham,11.0,11,4.0
2018-09-02,Fulham,13.0,13,4.0
2018-09-15,Fulham,15.0,15,4.0
2018-09-16,Fulham,15.0,15,4.0
2018-09-17,Fulham,15.0,15,4.0
2018-09-22,Fulham,15.0,15,5.0
2018-09-23,Fulham,15.0,15,5.0
2018-09-29,Fulham,16.0,16,5.0
2018-09-30,Fulham,17.0,17,5.0
2018-10-01,Fulham,17.0,17,5.0
2018-10-05,Fulham,17.0,17,5.0
2018-10-06,Fulham,17.0,17,5.0
2018-10-07,Fulham,17.0,17,5.0
2018-10-20,Fulham,18.0,18,5.0
2018-10-21,Fulham,18.0,18,5.0
2018-10-22,Fulham,18.0,18,5.0
2018-10-27,Fulham,18.0,18,5.0
2018-10-28,Fulham,18.0,18,5.0
2018-10-29,Fulham,18.0,18,5.0
2018-11-03,Fulham,19.0,19,5.0
2018-11-04,Fulham,19.0,19,5.0
2018-11-05,Fulham,20.0,20,5.0
2018-11-10,Fulham,20.0,20,5.0
2018-11-11,Fulham,20.0,20,5.0
2018-11-24,Fulham,19.0,19,8.0
2018-11-25,Fulham,20.0,20,8.0
2018-11-26,Fulham,20.0,20,8.0
2018-11-30,Fulham,20.0,20,8.0
2018-12-01,Fulham,20.0,20,8.0
2018-12-02,Fulham,20.0,20,8.0
2018-12-04,Fulham,20.0,20,8.0
2018-12-05,Fulham,20.0,20,9.0
2018-12-08,Fulham,20.0,20,9.0
2018-12-09,Fulham,20.0,20,9.0
2018-12-10,Fulham,20.0,20,9.0
2018-12-15,Fulham,20.0,20,9.0
2018-12-16,Fulham,20.0,20,9.0
2018-12-21,Fulham,20.0,20,9.0
2018-12-22,Fulham,20.0,20,10.0
2018-12-23,Fulham,20.0,20,10.0
2018-12-26,Fulham,19.0,19,11.0
2018-12-27,Fulham,19.0,19,11.0
2018-12-29,Fulham,18.0,18,14.0
2018-12-30,Fulham,19.0,19,14.0
2019-01-01,Fulham,19.0,19,14.0
2019-01-02,Fulham,19.0,19,14.0
2019-01-03,Fulham,19.0,19,14.0
2019-01-12,Fulham,19.0,19,14.0
2019-01-13,Fulham,19.0,19,14.0
2019-01-14,Fulham,19.0,19,14.0
2019-01-19,Fulham,19.0,19,14.0
2019-01-20,Fulham,19.0,19,14.0
2019-01-29,Fulham,19.0,19,17.0
2019-01-30,Fulham,19.0,19,17.0
2019-02-02,Fulham,19.0,19,17.0
2019-02-03,Fulham,19.0,19,17.0
2019-02-04,Fulham,19.0,19,17.0
2019-02-06,Fulham,19.0,19,17.0
2019-02-09,Fulham,19.0,19,17.0
2019-02-10,Fulham,19.0,19,17.0
2019-02-11,Fulham,19.0,19,17.0
2019-02-22,Fulham,19.0,19,17.0
2019-02-23,Fulham,19.0,19,17.0
2019-02-24,Fulham,19.0,19,17.0
2019-02-26,Fulham,19.0,19,17.0
2019-02-27,Fulham,19.0,19,17.0
2019-03-02,Fulham,19.0,19,17.0
2019-03-03,Fulham,19.0,19,17.0
2019-03-09,Fulham,19.0,19,17.0
2019-03-10,Fulham,19.0,19,17.0
2019-03-16,Fulham,19.0,19,17.0
2019-03-17,Fulham,19.0,19,17.0
2019-03-30,Fulham,19.0,19,17.0
2019-03-31,Fulham,19.0,19,17.0
2019-04-01,Fulham,19.0,19,17.0
2019-04-02,Fulham,19.0,19,17.0
2019-04-03,Fulham,19.0,19,17.0
2019-04-05,Fulham,19.0,19,17.0
2019-04-06,Fulham,19.0,19,17.0
2019-04-07,Fulham,19.0,19,17.0
2019-04-08,Fulham,19.0,19,17.0
2019-04-12,Fulham,19.0,19,17.0
2019-04-13,Fulham,19.0,19,20.0
2019-04-14,Fulham,19.0,19,20.0
2019-04-15,Fulham,19.0,19,20.0
2019-04-16,Fulham,19.0,19,20.0
2019-04-20,Fulham,19.0,19,23.0
2019-04-21,Fulham,19.0,19,23.0
2019-04-22,Fulham,19.0,19,23.0
2019-04-23,Fulham,19.0,19,23.0
2019-04-24,Fulham,19.0,19,23.0
2019-04-26,Fulham,19.0,19,23.0
2019-04-27,Fulham,19.0,19,26.0
2019-04-28,Fulham,19.0,19,26.0
2019-05-03,Fulham,19.0,19,26.0
2019-05-04,Fulham,19.0,19,26.0
2019-05-05,Fulham,19.0,19,26.0
2019-05-06,Fulham,19.0,19,26.0
2019-05-12,Fulham,19.0,19,26.0
2018-08-10,Cardiff,2.0,6,0.0
2018-08-11,Cardiff,17.0,18,0.0
2018-08-12,Cardiff,15.0,17,0.0
2018-08-18,Cardiff,15.0,15,1.0
2018-08-19,Cardiff,16.0,16,1.0
2018-08-20,Cardiff,16.0,16,1.0
2018-08-25,Cardiff,14.0,14,2.0
2018-08-26,Cardiff,15.0,15,2.0
2018-08-27,Cardiff,15.0,15,2.0
2018-09-01,Cardiff,16.0,16,2.0
2018-09-02,Cardiff,16.0,16,2.0
2018-09-15,Cardiff,16.0,16,2.0
2018-09-16,Cardiff,17.0,17,2.0
2018-09-17,Cardiff,17.0,17,2.0
2018-09-22,Cardiff,19.0,19,2.0
2018-09-23,Cardiff,19.0,19,2.0
2018-09-29,Cardiff,19.0,19,2.0
2018-09-30,Cardiff,19.0,19,2.0
2018-10-01,Cardiff,19.0,19,2.0
2018-10-05,Cardiff,19.0,19,2.0
2018-10-06,Cardiff,20.0,20,2.0
2018-10-07,Cardiff,20.0,20,2.0
2018-10-20,Cardiff,17.0,17,5.0
2018-10-21,Cardiff,17.0,17,5.0
2018-10-22,Cardiff,17.0,17,5.0
2018-10-27,Cardiff,17.0,17,5.0
2018-10-28,Cardiff,17.0,17,5.0
2018-10-29,Cardiff,17.0,17,5.0
2018-11-03,Cardiff,18.0,18,5.0
2018-11-04,Cardiff,18.0,18,5.0
2018-11-05,Cardiff,19.0,19,5.0
2018-11-10,Cardiff,18.0,18,8.0
2018-11-11,Cardiff,18.0,18,8.0
2018-11-24,Cardiff,18.0,18,8.0
2018-11-25,Cardiff,19.0,19,8.0
2018-11-26,Cardiff,19.0,19,8.0
2018-11-30,Cardiff,15.0,15,11.0
2018-12-01,Cardiff,16.0,16,11.0
2018-12-02,Cardiff,16.0,16,11.0
2018-12-04,Cardiff,16.0,16,11.0
2018-12-05,Cardiff,16.0,16,11.0
2018-12-08,Cardiff,14.0,14,14.0
2018-12-09,Cardiff,14.0,14,14.0
2018-12-10,Cardiff,14.0,14,14.0
2018-12-15,Cardiff,16.0,16,14.0
2018-12-16,Cardiff,16.0,16,14.0
2018-12-21,Cardiff,16.0,16,14.0
2018-12-22,Cardiff,17.0,17,14.0
2018-12-23,Cardiff,17.0,17,14.0
2018-12-26,Cardiff,17.0,17,15.0
2018-12-27,Cardiff,17.0,17,15.0
2018-12-29,Cardiff,16.0,16,18.0
2018-12-30,Cardiff,16.0,16,18.0
2019-01-01,Cardiff,16.0,16,18.0
2019-01-02,Cardiff,17.0,17,18.0
2019-01-03,Cardiff,17.0,17,18.0
2019-01-12,Cardiff,17.0,17,19.0
2019-01-13,Cardiff,17.0,17,19.0
2019-01-14,Cardiff,17.0,17,19.0
2019-01-19,Cardiff,18.0,18,19.0
2019-01-20,Cardiff,18.0,18,19.0
2019-01-29,Cardiff,18.0,18,19.0
2019-01-30,Cardiff,18.0,18,19.0
2019-02-02,Cardiff,18.0,18,22.0
2019-02-03,Cardiff,18.0,18,22.0
2019-02-04,Cardiff,18.0,18,22.0
