date,team,player,value,player_team,cum_sum
2024-08-17,Newcastle Utd,Alexander Isak,1,alexanderisak_newcastleutd,1.0
2024-08-17,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,1.0
2024-08-17,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,1.0
2024-08-17,Aston Villa,Youri Tielemans,1,youritielemans_astonvilla,1.0
2024-08-19,Tottenham,James Maddison,1,jamesmaddison_tottenham,1.0
2024-08-24,Fulham,Adama Traore,1,adamatraore_fulham,1.0
2024-08-24,Fulham,Antonee Robinson,1,antoneerobinson_fulham,1.0
2024-08-24,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,2.0
2024-08-24,Tottenham,James Maddison,1,jamesmaddison_tottenham,2.0
2024-08-24,Manchester City,Kevin De Bruyne,1,kevindebruyne_manchestercity,1.0
2024-08-24,Manchester City,Savio,1,savio_manchestercity,1.0
2024-08-25,Chelsea,Cole Palmer,3,colepalmer_chelsea,3.0
2024-08-25,Wolves,Rayan Ait-Nouri,1,rayanaitnouri_wolves,1.0
2024-08-31,Fulham,Antonee Robinson,1,antoneerobinson_fulham,2.0
2024-08-31,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,3.0
2024-08-31,Nott'ham Forest,Elliot Anderson,1,elliotanderson_notthamforest,1.0
2024-08-31,Bournemouth,Justin Kluivert,1,justinkluivert_bournemouth,1.0
2024-08-31,Aston Villa,Ollie Watkins,1,olliewatkins_astonvilla,1.0
2024-09-01,Chelsea,Cole Palmer,1,colepalmer_chelsea,4.0
2024-09-01,Newcastle Utd,Jacob Murphy,1,jacobmurphy_newcastleutd,1.0
2024-09-01,Liverpool,Mohamed Salah,2,mohamedsalah_liverpool,3.0
2024-09-14,Manchester Utd,Amad Diallo,1,amaddiallo_manchesterutd,1.0
2024-09-14,Nott'ham Forest,Anthony Elanga,1,anthonyelanga_notthamforest,1.0
2024-09-14,Manchester Utd,Bruno Fernandes,1,brunofernandes_manchesterutd,1.0
2024-09-14,West Ham,Jarrod Bowen,1,jarrodbowen_westham,1.0
2024-09-15,Newcastle Utd,Bruno Guimaraes,1,brunoguimaraes_newcastleutd,1.0
2024-09-15,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,4.0
2024-09-21,Fulham,Adama Traore,1,adamatraore_fulham,2.0
2024-09-21,Fulham,Alex Iwobi,1,alexiwobi_fulham,1.0
2024-09-21,Newcastle Utd,Jacob Murphy,1,jacobmurphy_newcastleutd,2.0
2024-09-21,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,4.0
2024-09-21,Aston Villa,Morgan Rogers,2,morganrogers_astonvilla,2.0
2024-09-21,Tottenham,Son Heung-min,2,sonheungmin_tottenham,2.0
2024-09-21,Liverpool,Trent Alexander-Arnold,1,trentalexanderarnold_liverpool,1.0
2024-09-21,Aston Villa,Youri Tielemans,1,youritielemans_astonvilla,2.0
2024-09-22,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,5.0
2024-09-22,Manchester City,Savio,1,savio_manchestercity,2.0
2024-09-29,Aston Villa,Ollie Watkins,1,olliewatkins_astonvilla,2.0
2024-10-05,Arsenal,Bukayo Saka,2,bukayosaka_arsenal,7.0
2024-10-05,West Ham,Jarrod Bowen,1,jarrodbowen_westham,2.0
2024-10-05,Wolves,Jean-Ricner Bellegarde,1,jeanricnerbellegarde_wolves,1.0
2024-10-05,Brentford,Mikkel Damsgaard,2,mikkeldamsgaard_brentford,2.0
2024-10-05,Wolves,Rayan Ait-Nouri,1,rayanaitnouri_wolves,2.0
2024-10-06,Chelsea,Cole Palmer,1,colepalmer_chelsea,5.0
2024-10-19,Manchester Utd,Bruno Fernandes,1,brunofernandes_manchesterutd,2.0
2024-10-19,Tottenham,James Maddison,1,jamesmaddison_tottenham,3.0
2024-10-19,Bournemouth,Justin Kluivert,1,justinkluivert_bournemouth,2.0
2024-10-19,Brentford,Mikkel Damsgaard,1,mikkeldamsgaard_brentford,3.0
2024-10-19,Aston Villa,Youri Tielemans,1,youritielemans_astonvilla,3.0
2024-10-20,Manchester City,Jeremy Doku,1,jeremydoku_manchestercity,1.0
2024-10-20,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,5.0
2024-10-25,Nott'ham Forest,Elliot Anderson,1,elliotanderson_notthamforest,2.0
2024-10-27,Arsenal,Declan Rice,1,declanrice_arsenal,1.0
2024-10-27,Crystal Palace,Eberechi Eze,1,eberechieze_crystalpalace,1.0
2024-11-02,Nott'ham Forest,Elliot Anderson,1,elliotanderson_notthamforest,3.0
2024-11-02,Wolves,Matheus Cunha,1,matheuscunha_wolves,1.0
2024-11-03,Tottenham,Son Heung-min,1,sonheungmin_tottenham,3.0
2024-11-04,Fulham,Adama Traore,1,adamatraore_fulham,3.0
2024-11-04,Fulham,Antonee Robinson,1,antoneerobinson_fulham,3.0
2024-11-09,Fulham,Alex Iwobi,1,alexiwobi_fulham,2.0
2024-11-09,Brentford,Bryan Mbeumo,1,bryanmbeumo_brentford,1.0
2024-11-09,Brighton,Joao Pedro,1,joaopedro_brighton,1.0
2024-11-09,Wolves,Matheus Cunha,1,matheuscunha_wolves,2.0
2024-11-09,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,6.0
2024-11-10,Newcastle Utd,Alexander Isak,1,alexanderisak_newcastleutd,2.0
2024-11-10,Manchester Utd,Amad Diallo,1,amaddiallo_manchesterutd,2.0
2024-11-10,Nott'ham Forest,Anthony Elanga,1,anthonyelanga_notthamforest,2.0
2024-11-10,Manchester Utd,Bruno Fernandes,1,brunofernandes_manchesterutd,3.0
2024-11-10,Chelsea,Enzo Fernandez,1,enzofernandez_chelsea,1.0
2024-11-10,Arsenal,Martin Odegaard,1,martinodegaard_arsenal,1.0
2024-11-10,Tottenham,Pedro Porro,1,pedroporro_tottenham,1.0
2024-11-23,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,8.0
2024-11-23,Chelsea,Enzo Fernandez,1,enzofernandez_chelsea,2.0
2024-11-23,Brighton,Joao Pedro,1,joaopedro_brighton,2.0
2024-11-23,Arsenal,Martin Odegaard,1,martinodegaard_arsenal,2.0
2024-11-23,Wolves,Matheus Cunha,1,matheuscunha_wolves,3.0
2024-11-23,Tottenham,Son Heung-min,1,sonheungmin_tottenham,4.0
2024-11-23,Aston Villa,Youri Tielemans,1,youritielemans_astonvilla,4.0
2024-11-24,Manchester Utd,Amad Diallo,1,amaddiallo_manchesterutd,3.0
2024-11-25,West Ham,Jarrod Bowen,1,jarrodbowen_westham,3.0
2024-11-30,Arsenal,Bukayo Saka,2,bukayosaka_arsenal,10.0
2024-11-30,Wolves,Jean-Ricner Bellegarde,1,jeanricnerbellegarde_wolves,2.0
2024-11-30,Brentford,Mikkel Damsgaard,1,mikkeldamsgaard_brentford,4.0
2024-12-01,Fulham,Alex Iwobi,1,alexiwobi_fulham,3.0
2024-12-01,Manchester Utd,Amad Diallo,2,amaddiallo_manchesterutd,5.0
2024-12-01,Manchester Utd,Bruno Fernandes,2,brunofernandes_manchesterutd,5.0
2024-12-01,Chelsea,Cole Palmer,1,colepalmer_chelsea,6.0
2024-12-01,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,7.0
2024-12-03,Crystal Palace,Eberechi Eze,1,eberechieze_crystalpalace,2.0
2024-12-04,Newcastle Utd,Alexander Isak,1,alexanderisak_newcastleutd,3.0
2024-12-04,Newcastle Utd,Bruno Guimaraes,2,brunoguimaraes_newcastleutd,3.0
2024-12-04,Arsenal,Declan Rice,1,declanrice_arsenal,2.0
2024-12-04,Chelsea,Enzo Fernandez,1,enzofernandez_chelsea,3.0
2024-12-04,Manchester City,Jeremy Doku,1,jeremydoku_manchestercity,2.0
2024-12-04,Manchester City,Kevin De Bruyne,1,kevindebruyne_manchestercity,2.0
2024-12-04,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,8.0
2024-12-04,Aston Villa,Ollie Watkins,1,olliewatkins_astonvilla,3.0
2024-12-04,Liverpool,Trent Alexander-Arnold,2,trentalexanderarnold_liverpool,3.0
2024-12-05,Fulham,Antonee Robinson,1,antoneerobinson_fulham,4.0
2024-12-05,Brighton,Joao Pedro,1,joaopedro_brighton,3.0
2024-12-07,Manchester Utd,Amad Diallo,1,amaddiallo_manchesterutd,6.0
2024-12-07,Brentford,Bryan Mbeumo,1,bryanmbeumo_brentford,2.0
2024-12-07,Nott'ham Forest,Elliot Anderson,1,elliotanderson_notthamforest,4.0
2024-12-07,Newcastle Utd,Jacob Murphy,2,jacobmurphy_newcastleutd,4.0
2024-12-07,Nott'ham Forest,Morgan Gibbs-White,1,morgangibbswhite_notthamforest,1.0
2024-12-08,Tottenham,James Maddison,1,jamesmaddison_tottenham,4.0
2024-12-08,Tottenham,Pedro Porro,1,pedroporro_tottenham,2.0
2024-12-09,West Ham,Jarrod Bowen,1,jarrodbowen_westham,4.0
2024-12-09,Wolves,Rayan Ait-Nouri,1,rayanaitnouri_wolves,3.0
2024-12-14,Newcastle Utd,Alexander Isak,1,alexanderisak_newcastleutd,4.0
2024-12-14,Fulham,Antonee Robinson,2,antoneerobinson_fulham,6.0
2024-12-14,Nott'ham Forest,Elliot Anderson,1,elliotanderson_notthamforest,5.0
2024-12-14,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,9.0
2024-12-14,Nott'ham Forest,Morgan Gibbs-White,1,morgangibbswhite_notthamforest,2.0
2024-12-15,Chelsea,Enzo Fernandez,1,enzofernandez_chelsea,4.0
2024-12-15,Tottenham,Son Heung-min,2,sonheungmin_tottenham,6.0
2024-12-21,Newcastle Utd,Bruno Guimaraes,1,brunoguimaraes_newcastleutd,4.0
2024-12-21,Arsenal,Declan Rice,1,declanrice_arsenal,3.0
2024-12-21,Newcastle Utd,Jacob Murphy,1,jacobmurphy_newcastleutd,5.0
2024-12-21,Aston Villa,Morgan Rogers,1,morganrogers_astonvilla,3.0
2024-12-22,Liverpool,Mohamed Salah,2,mohamedsalah_liverpool,11.0
2024-12-22,Liverpool,Trent Alexander-Arnold,1,trentalexanderarnold_liverpool,4.0
2024-12-26,Newcastle Utd,Jacob Murphy,1,jacobmurphy_newcastleutd,6.0
2024-12-26,Manchester City,Jeremy Doku,1,jeremydoku_manchestercity,3.0
2024-12-26,Wolves,Matheus Cunha,1,matheuscunha_wolves,4.0
2024-12-26,Nott'ham Forest,Morgan Gibbs-White,1,morgangibbswhite_notthamforest,3.0
2024-12-29,Nott'ham Forest,Anthony Elanga,1,anthonyelanga_notthamforest,3.0
2024-12-29,Fulham,Antonee Robinson,1,antoneerobinson_fulham,7.0
2024-12-29,Liverpool,Mohamed Salah,2,mohamedsalah_liverpool,13.0
2024-12-29,Tottenham,Pedro Porro,1,pedroporro_tottenham,3.0
2024-12-29,Wolves,Rayan Ait-Nouri,2,rayanaitnouri_wolves,5.0
2024-12-29,Manchester City,Savio,1,savio_manchestercity,3.0
2024-12-30,Brighton,Joao Pedro,2,joaopedro_brighton,5.0
2024-12-30,Aston Villa,Ollie Watkins,1,olliewatkins_astonvilla,4.0
2025-01-01,Brentford,Mikkel Damsgaard,1,mikkeldamsgaard_brentford,5.0
2025-01-04,Newcastle Utd,Bruno Guimaraes,1,brunoguimaraes_newcastleutd,5.0
2025-01-04,Brentford,Bryan Mbeumo,1,bryanmbeumo_brentford,3.0
2025-01-04,Crystal Palace,Eberechi Eze,1,eberechieze_crystalpalace,3.0
2025-01-04,Newcastle Utd,Jacob Murphy,1,jacobmurphy_newcastleutd,7.0
2025-01-04,Manchester City,Kevin De Bruyne,1,kevindebruyne_manchestercity,3.0
2025-01-04,Brentford,Mikkel Damsgaard,1,mikkeldamsgaard_brentford,6.0
2025-01-04,Tottenham,Pedro Porro,1,pedroporro_tottenham,4.0
2025-01-04,Manchester City,Savio,2,savio_manchestercity,5.0
2025-01-05,Manchester Utd,Bruno Fernandes,1,brunofernandes_manchesterutd,6.0
2025-01-06,Nott'ham Forest,Anthony Elanga,1,anthonyelanga_notthamforest,4.0
2025-01-14,Nott'ham Forest,Anthony Elanga,1,anthonyelanga_notthamforest,5.0
2025-01-14,Fulham,Antonee Robinson,2,antoneerobinson_fulham,9.0
2025-01-14,Manchester City,Kevin De Bruyne,1,kevindebruyne_manchestercity,4.0
2025-01-15,Newcastle Utd,Alexander Isak,1,alexanderisak_newcastleutd,5.0
2025-01-15,Newcastle Utd,Bruno Guimaraes,1,brunoguimaraes_newcastleutd,6.0
2025-01-15,Crystal Palace,Eberechi Eze,1,eberechieze_crystalpalace,4.0
2025-01-15,Arsenal,Martin Odegaard,1,martinodegaard_arsenal,3.0
2025-01-15,Aston Villa,Morgan Rogers,1,morganrogers_astonvilla,4.0
2025-01-18,Crystal Palace,Eberechi Eze,1,eberechieze_crystalpalace,5.0
