date,team,player,value,player_team,cum_sum
2021-08-14,Liverpool,Mohamed Salah,2,mohamedsalah_liverpool,2.0
2021-08-14,Manchester Utd,Paul Pogba,4,paulpogba_manchesterutd,4.0
2021-08-15,West Ham,Michail Antonio,1,michailantonio_westham,1.0
2021-08-15,West Ham,Said Benrahma,1,saidbenrahma_westham,1.0
2021-08-21,Manchester City,Gabriel Jesus,2,gabrieljesus_manchestercity,2.0
2021-08-21,Liverpool,Trent Alexander-Arnold,1,trentalexanderarnold_liverpool,1.0
2021-08-22,Chelsea,Mason Mount,1,masonmount_chelsea,1.0
2021-08-22,Manchester Utd,Paul Pogba,1,paulpogba_manchesterutd,5.0
2021-08-22,Chelsea,Reece James,1,reecejames_chelsea,1.0
2021-08-23,West Ham,Michail Antonio,1,michailantonio_westham,2.0
2021-08-23,West Ham,Said Benrahma,1,saidbenrahma_westham,2.0
2021-08-28,Aston Villa,Danny Ings,1,dannyings_astonvilla,1.0
2021-08-28,Manchester City,Gabriel Jesus,1,gabrieljesus_manchestercity,3.0
2021-08-28,West Ham,Michail Antonio,1,michailantonio_westham,3.0
2021-08-28,Chelsea,Reece James,1,reecejames_chelsea,2.0
2021-09-11,Manchester Utd,Paul Pogba,2,paulpogba_manchesterutd,7.0
2021-09-12,Liverpool,Trent Alexander-Arnold,1,trentalexanderarnold_liverpool,2.0
2021-09-18,Aston Villa,Danny Ings,1,dannyings_astonvilla,2.0
2021-09-19,West Ham,Jarrod Bowen,1,jarrodbowen_westham,1.0
2021-09-25,Liverpool,Andrew Robertson,1,andrewrobertson_liverpool,1.0
2021-09-25,Manchester City,Joao Cancelo,1,joaocancelo_manchestercity,1.0
2021-09-26,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,1.0
2021-10-02,Manchester Utd,Bruno Fernandes,1,brunofernandes_manchesterutd,1.0
2021-10-03,Manchester City,Gabriel Jesus,1,gabrieljesus_manchestercity,4.0
2021-10-03,Leicester City,Harvey Barnes,1,harveybarnes_leicestercity,1.0
2021-10-03,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,3.0
2021-10-03,Tottenham,Son Heung-min,1,sonheungmin_tottenham,1.0
2021-10-16,Manchester Utd,Bruno Fernandes,1,brunofernandes_manchesterutd,2.0
2021-10-16,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,4.0
2021-10-17,Tottenham,Harry Kane,1,harrykane_tottenham,1.0
2021-10-17,West Ham,Jarrod Bowen,1,jarrodbowen_westham,2.0
2021-10-23,Manchester City,Gabriel Jesus,1,gabrieljesus_manchestercity,5.0
2021-10-23,Chelsea,Mason Mount,1,masonmount_chelsea,2.0
2021-10-24,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,5.0
2021-10-24,Liverpool,Trent Alexander-Arnold,1,trentalexanderarnold_liverpool,3.0
2021-10-30,Manchester Utd,Bruno Fernandes,1,brunofernandes_manchesterutd,3.0
2021-10-30,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,2.0
2021-10-30,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,6.0
2021-10-31,Aston Villa,Emi Buendia,1,emibuendia_astonvilla,1.0
2021-10-31,West Ham,Said Benrahma,1,saidbenrahma_westham,3.0
2021-11-06,Manchester City,Joao Cancelo,1,joaocancelo_manchestercity,2.0
2021-11-06,Chelsea,Reece James,1,reecejames_chelsea,3.0
2021-11-07,West Ham,Jarrod Bowen,2,jarrodbowen_westham,4.0
2021-11-07,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,7.0
2021-11-07,Liverpool,Trent Alexander-Arnold,1,trentalexanderarnold_liverpool,4.0
2021-11-20,Chelsea,Reece James,1,reecejames_chelsea,4.0
2021-11-20,Liverpool,Trent Alexander-Arnold,2,trentalexanderarnold_liverpool,6.0
2021-11-21,Manchester City,Joao Cancelo,1,joaocancelo_manchestercity,3.0
2021-11-21,Tottenham,Lucas Moura,1,lucasmoura_tottenham,1.0
2021-11-27,Liverpool,Andrew Robertson,1,andrewrobertson_liverpool,2.0
2021-11-27,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,8.0
2021-11-27,Liverpool,Trent Alexander-Arnold,1,trentalexanderarnold_liverpool,7.0
2021-11-28,Leicester City,James Maddison,2,jamesmaddison_leicestercity,2.0
2021-12-01,Liverpool,Andrew Robertson,2,andrewrobertson_liverpool,4.0
2021-12-01,Manchester City,Gabriel Jesus,1,gabrieljesus_manchestercity,6.0
2021-12-01,Chelsea,Mason Mount,1,masonmount_chelsea,3.0
2021-12-02,Arsenal,Gabriel Martinelli,1,gabrielmartinelli_arsenal,1.0
2021-12-04,Chelsea,Mason Mount,1,masonmount_chelsea,4.0
2021-12-04,West Ham,Michail Antonio,1,michailantonio_westham,4.0
2021-12-04,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,9.0
2021-12-05,Brentford,Bryan Mbeumo,1,bryanmbeumo_brentford,1.0
2021-12-05,Aston Villa,Emi Buendia,1,emibuendia_astonvilla,2.0
2021-12-05,Tottenham,Son Heung-min,1,sonheungmin_tottenham,2.0
2021-12-11,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,3.0
2021-12-11,Arsenal,Gabriel Martinelli,1,gabrielmartinelli_arsenal,2.0
2021-12-12,Leicester City,Harvey Barnes,1,harveybarnes_leicestercity,2.0
2021-12-12,Leicester City,James Maddison,1,jamesmaddison_leicestercity,3.0
2021-12-15,Arsenal,Alexandre Lacazette,1,alexandrelacazette_arsenal,1.0
2021-12-15,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,4.0
2021-12-16,Chelsea,Reece James,1,reecejames_chelsea,5.0
2021-12-18,Arsenal,Alexandre Lacazette,1,alexandrelacazette_arsenal,2.0
2021-12-19,Liverpool,Andrew Robertson,1,andrewrobertson_liverpool,5.0
2021-12-19,Manchester City,Gabriel Jesus,1,gabrieljesus_manchestercity,7.0
2021-12-19,Manchester City,Joao Cancelo,1,joaocancelo_manchestercity,4.0
2021-12-19,Liverpool,Trent Alexander-Arnold,1,trentalexanderarnold_liverpool,8.0
2021-12-26,Arsenal,Alexandre Lacazette,1,alexandrelacazette_arsenal,3.0
2021-12-26,West Ham,Jarrod Bowen,1,jarrodbowen_westham,5.0
2021-12-26,Tottenham,Lucas Moura,2,lucasmoura_tottenham,3.0
2021-12-28,West Ham,Jarrod Bowen,2,jarrodbowen_westham,7.0
2021-12-28,West Ham,Michail Antonio,1,michailantonio_westham,5.0
2021-12-29,Manchester City,Kevin De Bruyne,1,kevindebruyne_manchestercity,1.0
2021-12-29,Chelsea,Mason Mount,1,masonmount_chelsea,5.0
2022-01-01,West Ham,Said Benrahma,1,saidbenrahma_westham,4.0
2022-01-01,Tottenham,Son Heung-min,1,sonheungmin_tottenham,3.0
2022-01-02,Aston Villa,Emi Buendia,1,emibuendia_astonvilla,3.0
2022-01-02,Liverpool,Trent Alexander-Arnold,1,trentalexanderarnold_liverpool,9.0
2022-01-11,Brentford,Bryan Mbeumo,1,bryanmbeumo_brentford,2.0
2022-01-15,Manchester City,Joao Cancelo,1,joaocancelo_manchestercity,5.0
2022-01-16,Liverpool,Andrew Robertson,1,andrewrobertson_liverpool,6.0
2022-01-16,West Ham,Michail Antonio,1,michailantonio_westham,6.0
2022-01-16,Liverpool,Trent Alexander-Arnold,1,trentalexanderarnold_liverpool,10.0
2022-01-19,Manchester Utd,Bruno Fernandes,2,brunofernandes_manchesterutd,5.0
2022-01-19,Tottenham,Harry Kane,1,harrykane_tottenham,2.0
2022-01-19,Leicester City,Harvey Barnes,1,harveybarnes_leicestercity,3.0
2022-01-22,Brentford,Bryan Mbeumo,1,bryanmbeumo_brentford,3.0
2022-01-22,Manchester City,Kevin De Bruyne,1,kevindebruyne_manchestercity,2.0
2022-01-23,Liverpool,Andrew Robertson,2,andrewrobertson_liverpool,8.0
2022-01-23,Chelsea,Mason Mount,1,masonmount_chelsea,6.0
2022-02-09,Tottenham,Lucas Moura,1,lucasmoura_tottenham,4.0
2022-02-10,Arsenal,Alexandre Lacazette,1,alexandrelacazette_arsenal,4.0
2022-02-13,Leicester City,Harvey Barnes,1,harveybarnes_leicestercity,4.0
2022-02-13,West Ham,Jarrod Bowen,1,jarrodbowen_westham,8.0
2022-02-15,Manchester Utd,Paul Pogba,1,paulpogba_manchesterutd,8.0
2022-02-19,Arsenal,Alexandre Lacazette,1,alexandrelacazette_arsenal,5.0
2022-02-19,Tottenham,Dejan Kulusevski,1,dejankulusevski_tottenham,1.0
2022-02-19,Tottenham,Son Heung-min,2,sonheungmin_tottenham,5.0
2022-02-20,Manchester Utd,Bruno Fernandes,1,brunofernandes_manchesterutd,6.0
2022-02-23,Liverpool,Andrew Robertson,1,andrewrobertson_liverpool,9.0
2022-02-23,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,10.0
2022-02-26,Tottenham,Harry Kane,1,harrykane_tottenham,3.0
2022-02-27,West Ham,Michail Antonio,1,michailantonio_westham,7.0
2022-03-01,Leicester City,Harvey Barnes,1,harveybarnes_leicestercity,5.0
2022-03-05,Aston Villa,Danny Ings,2,dannyings_astonvilla,4.0
2022-03-05,Chelsea,Reece James,1,reecejames_chelsea,6.0
2022-03-05,Liverpool,Trent Alexander-Arnold,1,trentalexanderarnold_liverpool,11.0
2022-03-06,Arsenal,Alexandre Lacazette,2,alexandrelacazette_arsenal,7.0
2022-03-06,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,5.0
2022-03-06,Manchester City,Kevin De Bruyne,1,kevindebruyne_manchestercity,3.0
2022-03-06,Manchester Utd,Paul Pogba,1,paulpogba_manchesterutd,9.0
2022-03-07,Tottenham,Dejan Kulusevski,2,dejankulusevski_tottenham,3.0
2022-03-10,Aston Villa,Danny Ings,1,dannyings_astonvilla,5.0
2022-03-10,Chelsea,Mason Mount,1,masonmount_chelsea,7.0
2022-03-13,Aston Villa,Emi Buendia,1,emibuendia_astonvilla,4.0
2022-03-13,Arsenal,Gabriel Martinelli,1,gabrielmartinelli_arsenal,3.0
2022-03-13,West Ham,Said Benrahma,2,saidbenrahma_westham,6.0
2022-03-16,Liverpool,Andrew Robertson,1,andrewrobertson_liverpool,10.0
2022-03-16,Tottenham,Dejan Kulusevski,1,dejankulusevski_tottenham,4.0
2022-03-20,Brentford,Bryan Mbeumo,1,bryanmbeumo_brentford,4.0
2022-03-20,Tottenham,Harry Kane,2,harrykane_tottenham,5.0
2022-03-20,Leicester City,Harvey Barnes,1,harveybarnes_leicestercity,6.0
2022-04-02,Brentford,Bryan Mbeumo,2,bryanmbeumo_brentford,6.0
2022-04-02,Leicester City,James Maddison,1,jamesmaddison_leicestercity,4.0
2022-04-03,Tottenham,Dejan Kulusevski,1,dejankulusevski_tottenham,5.0
2022-04-03,Tottenham,Harry Kane,1,harrykane_tottenham,6.0
2022-04-03,Tottenham,Lucas Moura,1,lucasmoura_tottenham,5.0
2022-04-03,Tottenham,Son Heung-min,1,sonheungmin_tottenham,6.0
2022-04-09,Tottenham,Dejan Kulusevski,1,dejankulusevski_tottenham,6.0
2022-04-09,Tottenham,Harry Kane,2,harrykane_tottenham,8.0
2022-04-09,Chelsea,Mason Mount,1,masonmount_chelsea,8.0
2022-04-10,Brentford,Bryan Mbeumo,1,bryanmbeumo_brentford,7.0
2022-04-10,Leicester City,James Maddison,1,jamesmaddison_leicestercity,5.0
2022-04-10,Manchester City,Joao Cancelo,1,joaocancelo_manchestercity,6.0
2022-04-10,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,11.0
2022-04-10,Liverpool,Trent Alexander-Arnold,1,trentalexanderarnold_liverpool,12.0
2022-04-19,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,12.0
2022-04-20,Manchester City,Kevin De Bruyne,1,kevindebruyne_manchestercity,4.0
2022-04-20,Chelsea,Mason Mount,1,masonmount_chelsea,9.0
2022-04-23,Manchester City,Gabriel Jesus,1,gabrieljesus_manchestercity,8.0
2022-04-23,Manchester City,Kevin De Bruyne,2,kevindebruyne_manchestercity,6.0
2022-04-24,Liverpool,Mohamed Salah,1,mohamedsalah_liverpool,13.0
2022-04-30,Aston Villa,Danny Ings,1,dannyings_astonvilla,6.0
2022-04-30,Aston Villa,Emi Buendia,1,emibuendia_astonvilla,5.0
2022-05-01,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,6.0
2022-05-01,Tottenham,Dejan Kulusevski,2,dejankulusevski_tottenham,8.0
2022-05-01,Arsenal,Gabriel Martinelli,1,gabrielmartinelli_arsenal,4.0
2022-05-01,Tottenham,Son Heung-min,1,sonheungmin_tottenham,7.0
2022-05-07,Aston Villa,Emi Buendia,1,emibuendia_astonvilla,6.0
2022-05-08,Arsenal,Gabriel Martinelli,1,gabrielmartinelli_arsenal,5.0
2022-05-08,West Ham,Jarrod Bowen,2,jarrodbowen_westham,10.0
2022-05-08,Manchester City,Joao Cancelo,1,joaocancelo_manchestercity,7.0
2022-05-08,Manchester City,Kevin De Bruyne,1,kevindebruyne_manchestercity,7.0
2022-05-11,Leicester City,Harvey Barnes,2,harveybarnes_leicestercity,8.0
2022-05-11,Chelsea,Mason Mount,1,masonmount_chelsea,10.0
2022-05-11,Chelsea,Reece James,1,reecejames_chelsea,7.0
2022-05-15,Leicester City,Harvey Barnes,1,harveybarnes_leicestercity,9.0
2022-05-15,Leicester City,James Maddison,2,jamesmaddison_leicestercity,7.0
2022-05-15,West Ham,Michail Antonio,1,michailantonio_westham,8.0
2022-05-19,Chelsea,Reece James,1,reecejames_chelsea,8.0
2022-05-22,Arsenal,Bukayo Saka,1,bukayosaka_arsenal,7.0
2022-05-22,Arsenal,Gabriel Martinelli,1,gabrielmartinelli_arsenal,6.0
2022-05-22,Tottenham,Harry Kane,1,harrykane_tottenham,9.0
2022-05-22,Leicester City,Harvey Barnes,1,harveybarnes_leicestercity,10.0
2022-05-22,Leicester City,James Maddison,1,jamesmaddison_leicestercity,8.0
2022-05-22,Manchester City,Kevin De Bruyne,1,kevindebruyne_manchestercity,8.0
2022-05-22,Tottenham,Lucas Moura,1,lucasmoura_tottenham,6.0
2022-05-22,Chelsea,Reece James,1,reecejames_chelsea,9.0
