date,player_team,value,rank,player,team
2020-09-12,andrewrobertson_liverpool,1.0,1.0,Andrew Robertson,Liverpool
2020-09-12,aaroncresswell_westham,0.0,2.0,Aaron Cresswell,West Ham
2020-09-12,bernardosilva_manchestercity,0.0,3.0,Bernardo Silva,Manchester City
2020-09-12,bertrandtraore_astonvilla,0.0,4.0,Bertrand Traore,Aston Villa
2020-09-12,brunofernandes_manchesterutd,0.0,5.0,Bruno Fernandes,Manchester Utd
2020-09-12,eberechieze_crystalpalace,0.0,6.0,Eberechi Eze,Crystal Palace
2020-09-12,harrykane_tottenham,0.0,7.0,Harry Kane,Tottenham
2020-09-12,jackgrealish_astonvilla,0.0,8.0,Jack Grealish,Aston Villa
2020-09-12,jackharrison_leedsunited,0.0,9.0,Jack Harrison,Leeds United
2020-09-12,jameswardprowse_southampton,0.0,10.0,James Ward-Prowse,Southampton
2020-09-12,jamievardy_leicestercity,0.0,11.0,Jamie Vardy,Leicester City
2020-09-12,kevindebruyne_manchestercity,0.0,12.0,Kevin De Bruyne,Manchester City
2020-09-12,lucasdigne_everton,0.0,13.0,Lucas Digne,Everton
2020-09-12,marcusrashford_manchesterutd,0.0,14.0,Marcus Rashford,Manchester Utd
2020-09-12,matheuspereira_westbrom,0.0,15.0,Matheus Pereira,West Brom
2020-09-12,pascalgross_brighton,0.0,16.0,Pascal Gross,Brighton
2020-09-12,patrickbamford_leedsunited,0.0,17.0,Patrick Bamford,Leeds United
2020-09-12,pedroneto_wolves,0.0,18.0,Pedro Neto,Wolves
2020-09-12,raheemsterling_manchestercity,0.0,19.0,Raheem Sterling,Manchester City
2020-09-12,raphinha_leedsunited,0.0,20.0,Raphinha,Leeds United
2020-09-12,riyadmahrez_manchestercity,0.0,21.0,Riyad Mahrez,Manchester City
2020-09-12,robertofirmino_liverpool,0.0,22.0,Roberto Firmino,Liverpool
2020-09-12,sadiomane_liverpool,0.0,23.0,Sadio Mane,Liverpool
2020-09-12,saidbenrahma_westham,0.0,24.0,Said Benrahma,West Ham
2020-09-12,sonheungmin_tottenham,0.0,25.0,Son Heung-min,Tottenham
