date,team,player,value,player_team,cum_sum,pk
2024-05-14,Manchester City,Erling Haaland,2,erlinghaaland_manchestercity,27.0,7.0
2024-05-15,Newcastle Utd,Anthony Gordon,1,anthonygordon_newcastleutd,11.0,1.0
2024-05-15,Chelsea,Cole Palmer,1,colepalmer_chelsea,22.0,9.0
2024-05-15,Manchester Utd,Rasmus Hojlund,1,rasmushojlund_manchesterutd,9.0,0.0
2024-05-19,Newcastle Utd,Alexander Isak,1,alexanderisak_newcastleutd,21.0,5.0
2024-05-19,Luton Town,Carlton Morris,1,carltonmorris_lutontown,11.0,5.0
2024-05-19,Nott'ham Forest,Chris Wood,2,chriswood_notthamforest,14.0,0.0
2024-05-19,Crystal Palace,Eberechi Eze,2,eberechieze_crystalpalace,11.0,1.0
2024-05-19,Crystal Palace,Jean-Philippe Mateta,3,jeanphilippemateta_crystalpalace,16.0,2.0
2024-05-19,Arsenal,Kai Havertz,1,kaihavertz_arsenal,13.0,1.0
2024-05-19,Manchester City,Phil Foden,2,philfoden_manchestercity,19.0,0.0
2024-05-19,Manchester Utd,Rasmus Hojlund,1,rasmushojlund_manchesterutd,10.0,0.0
2024-05-19,Brentford,Yoane Wissa,1,yoanewissa_brentford,12.0,0.0
