Date,Team,rank,position,CumPts
2020-09-12,Sheffield United,5.0,13,0.0
2020-09-13,Sheffield United,7.0,13,0.0
2020-09-14,Sheffield United,17.0,17,0.0
2020-09-19,Sheffield United,17.0,17,0.0
2020-09-20,Sheffield United,16.0,16,0.0
2020-09-21,Sheffield United,17.0,17,0.0
2020-09-26,Sheffield United,19.0,19,0.0
2020-09-27,Sheffield United,20.0,20,0.0
2020-09-28,Sheffield United,19.0,19,0.0
2020-10-03,Sheffield United,18.0,18,0.0
2020-10-04,Sheffield United,19.0,19,0.0
2020-10-17,Sheffield United,19.0,19,0.0
2020-10-18,Sheffield United,17.0,17,1.0
2020-10-19,Sheffield United,19.0,19,1.0
2020-10-23,Sheffield United,19.0,19,1.0
2020-10-24,Sheffield United,19.0,19,1.0
2020-10-25,Sheffield United,19.0,19,1.0
2020-10-26,Sheffield United,18.0,19,1.0
2020-10-30,Sheffield United,18.0,19,1.0
2020-10-31,Sheffield United,18.0,18,1.0
2020-11-01,Sheffield United,18.0,18,1.0
2020-11-02,Sheffield United,19.0,19,1.0
2020-11-06,Sheffield United,20.0,20,1.0
2020-11-07,Sheffield United,20.0,20,1.0
2020-11-08,Sheffield United,20.0,20,1.0
2020-11-21,Sheffield United,20.0,20,1.0
2020-11-22,Sheffield United,20.0,20,1.0
2020-11-23,Sheffield United,20.0,20,1.0
2020-11-27,Sheffield United,20.0,20,1.0
2020-11-28,Sheffield United,20.0,20,1.0
2020-11-29,Sheffield United,20.0,20,1.0
2020-11-30,Sheffield United,20.0,20,1.0
2020-12-05,Sheffield United,20.0,20,1.0
2020-12-06,Sheffield United,20.0,20,1.0
2020-12-07,Sheffield United,20.0,20,1.0
2020-12-11,Sheffield United,20.0,20,1.0
2020-12-12,Sheffield United,20.0,20,1.0
2020-12-13,Sheffield United,20.0,20,1.0
2020-12-15,Sheffield United,20.0,20,1.0
2020-12-16,Sheffield United,20.0,20,1.0
2020-12-17,Sheffield United,20.0,20,1.0
2020-12-19,Sheffield United,20.0,20,1.0
2020-12-20,Sheffield United,20.0,20,2.0
2020-12-21,Sheffield United,20.0,20,2.0
2020-12-26,Sheffield United,20.0,20,2.0
2020-12-27,Sheffield United,20.0,20,2.0
2020-12-28,Sheffield United,20.0,20,2.0
2020-12-29,Sheffield United,20.0,20,2.0
2020-12-30,Sheffield United,20.0,20,2.0
2021-01-01,Sheffield United,20.0,20,2.0
2021-01-02,Sheffield United,20.0,20,2.0
2021-01-03,Sheffield United,20.0,20,2.0
2021-01-04,Sheffield United,20.0,20,2.0
2021-01-12,Sheffield United,20.0,20,5.0
2021-01-13,Sheffield United,20.0,20,5.0
2021-01-14,Sheffield United,20.0,20,5.0
2021-01-16,Sheffield United,20.0,20,5.0
2021-01-17,Sheffield United,20.0,20,5.0
2021-01-18,Sheffield United,20.0,20,5.0
2021-01-19,Sheffield United,20.0,20,5.0
2021-01-20,Sheffield United,20.0,20,5.0
2021-01-21,Sheffield United,20.0,20,5.0
2021-01-23,Sheffield United,20.0,20,5.0
2021-01-26,Sheffield United,20.0,20,5.0
2021-01-27,Sheffield United,20.0,20,8.0
2021-01-28,Sheffield United,20.0,20,8.0
2021-01-30,Sheffield United,20.0,20,8.0
2021-01-31,Sheffield United,20.0,20,8.0
2021-02-02,Sheffield United,20.0,20,11.0
2021-02-03,Sheffield United,20.0,20,11.0
2021-02-04,Sheffield United,20.0,20,11.0
2021-02-06,Sheffield United,20.0,20,11.0
2021-02-07,Sheffield United,20.0,20,11.0
2021-02-08,Sheffield United,20.0,20,11.0
2021-02-13,Sheffield United,20.0,20,11.0
2021-02-14,Sheffield United,20.0,20,11.0
2021-02-15,Sheffield United,20.0,20,11.0
2021-02-17,Sheffield United,20.0,20,11.0
2021-02-19,Sheffield United,20.0,20,11.0
2021-02-20,Sheffield United,20.0,20,11.0
2021-02-21,Sheffield United,20.0,20,11.0
2021-02-22,Sheffield United,20.0,20,11.0
2021-02-23,Sheffield United,20.0,20,11.0
2021-02-27,Sheffield United,20.0,20,11.0
2021-02-28,Sheffield United,20.0,20,11.0
2021-03-01,Sheffield United,20.0,20,11.0
