Team,variable,value,value_org
Arsenal,GFPerGame,52.27153220804391,1.4473684210526316
Arsenal,PassAccuracy,58.701163297144156,82.7
Arsenal,AveragePossession,54.53490771822043,53.5
Arsenal,GAPerGame,60.843289015816445,1.0263157894736843
Arsenal,GoalRate,53.84667069305806,0.11982570806100218
Arsenal,ShotsPerGame,49.95048958903205,12.078947368421053
Aston Villa,GFPerGame,52.27153220804391,1.4473684210526316
Aston Villa,PassAccuracy,44.84647626188438,76.1
Aston Villa,AveragePossession,48.03790525658657,48.5
Aston Villa,GAPerGame,54.62172974444636,1.2105263157894737
Aston Villa,GoalRate,49.09244105772243,0.10763209393346379
Aston Villa,ShotsPerGame,56.38684301486513,13.447368421052632
Brighton,GFPerGame,43.30495770260741,1.0526315789473684
Brighton,PassAccuracy,51.773819779514284,79.4
Brighton,AveragePossession,51.416346536636176,51.1
Brighton,GAPerGame,54.62172974444636,1.2105263157894737
Brighton,GoalRate,39.15145482144072,0.08213552361396304
Brighton,ShotsPerGame,53.41621835678832,12.81578947368421
Burnley,GFPerGame,39.120556266737054,0.868421052631579
Burnley,PassAccuracy,31.201708727158866,69.6
Burnley,AveragePossession,39.72174210569523,42.1
Burnley,GAPerGame,46.62258210982767,1.4473684210526316
Burnley,GoalRate,40.63382654636854,0.0859375
Burnley,ShotsPerGame,40.66728753254204,10.105263157894736
Chelsea,GFPerGame,54.06484710913121,1.5263157894736843
Chelsea,PassAccuracy,63.94915081050013,85.2
Chelsea,AveragePossession,64.15047136143855,60.9
Chelsea,GAPerGame,63.50967156068935,0.9473684210526315
Chelsea,GoalRate,47.653946085948085,0.1039426523297491
Chelsea,ShotsPerGame,62.204316303598866,14.68421052631579
Crystal Palace,GFPerGame,43.90272933630318,1.0789473684210527
Crystal Palace,PassAccuracy,41.48776425333658,74.5
Crystal Palace,AveragePossession,37.77264136720507,40.6
Crystal Palace,GAPerGame,36.845846111960384,1.736842105263158
Crystal Palace,GoalRate,52.931509828635384,0.1174785100286533
Crystal Palace,ShotsPerGame,36.335126572846704,9.18421052631579
Everton,GFPerGame,47.48935913847778,1.236842105263158
Everton,PassAccuracy,51.14406127791155,79.1
Everton,AveragePossession,45.309164222700346,46.4
Everton,GAPerGame,52.844141381197765,1.263157894736842
Everton,GoalRate,52.93988866181564,0.1175
Everton,ShotsPerGame,42.647703971259915,10.526315789473685
Fulham,GFPerGame,35.533926464562455,0.7105263157894737
Fulham,PassAccuracy,50.72422227684309,78.9
Fulham,AveragePossession,49.5971858473787,49.7
Fulham,GAPerGame,48.40017047307627,1.394736842105263
Fulham,GoalRate,30.94433944099768,0.06108597285067873
Fulham,ShotsPerGame,47.84629712289432,11.631578947368421
League Average,GFPerGame,49.999999999999986,1.3473684210526318
League Average,PassAccuracy,49.99999999999996,78.55500000000002
League Average,AveragePossession,50.0,50.010000000000005
League Average,GAPerGame,50.00000000000001,1.3473684210526318
League Average,GoalRate,49.99999999999999,0.1099597946103261
League Average,ShotsPerGame,50.0,12.089473684210526
Leeds,GFPerGame,56.45593364391427,1.631578947368421
Leeds,PassAccuracy,50.72422227684309,78.9
Leeds,AveragePossession,59.472629589062166,57.3
Leeds,GAPerGame,47.511376291451974,1.4210526315789473
Leeds,GoalRate,53.43659402545267,0.11877394636015326
Leeds,ShotsPerGame,57.74837931648366,13.736842105263158
Leicester,GFPerGame,60.04256344608887,1.7894736842105263
Leicester,PassAccuracy,53.45317578378819,80.2
Leicester,AveragePossession,55.57442811208185,54.3
Leicester,GAPerGame,51.06655301794916,1.3157894736842106
Leicester,GoalRate,61.905863383683,0.14049586776859505
Leicester,ShotsPerGame,53.04489027452872,12.736842105263158
Liverpool,GFPerGame,60.04256344608887,1.7894736842105263
Liverpool,PassAccuracy,60.59043880195229,83.6
Liverpool,AveragePossession,65.70975195223068,62.1
Liverpool,GAPerGame,58.17690647094355,1.105263157894737
Liverpool,GoalRate,50.733903582235754,0.1118421052631579
Liverpool,ShotsPerGame,68.3931176745922,16.0
Man City,GFPerGame,69.00913795152536,2.1842105263157894
Man City,PassAccuracy,69.1971383238561,87.7
Man City,AveragePossession,67.52891264148815,63.5
Man City,GAPerGame,67.06484828718654,0.8421052631578947
Man City,GoalRate,60.705513328989134,0.13741721854304637
Man City,ShotsPerGame,67.89801356491273,15.894736842105264
Man United,GFPerGame,63.0314216145677,1.9210526315789473
Man United,PassAccuracy,59.5408412992811,83.1
Man United,AveragePossession,57.393588801339334,55.7
Man United,GAPerGame,56.39931810769495,1.1578947368421053
Man United,GoalRate,61.75742854134696,0.1401151631477927
Man United,ShotsPerGame,57.6246032890638,13.710526315789474
Newcastle,GFPerGame,46.89158750478201,1.2105263157894737
Newcastle,PassAccuracy,39.808408249062666,73.7
Newcastle,AveragePossession,35.43372048101687,38.8
Newcastle,GAPerGame,40.401022838457585,1.631578947368421
Newcastle,GoalRate,52.303976730668516,0.11586901763224182
Newcastle,ShotsPerGame,42.27637588900031,10.447368421052632
Sheffield United,GFPerGame,31.349525028692092,0.5263157894736842
Sheffield United,PassAccuracy,41.90760325440506,74.7
Sheffield United,AveragePossession,39.201981908764516,41.7
Sheffield United,GAPerGame,39.51222865683328,1.6578947368421053
Sheffield United,GoalRate,31.120762534808133,0.06153846153846154
Sheffield United,ShotsPerGame,33.3645019147699,8.552631578947368
Southampton,GFPerGame,47.48935913847778,1.236842105263158
Southampton,PassAccuracy,47.57542976882951,77.4
Southampton,AveragePossession,52.58580697973027,52.0
Southampton,GAPerGame,35.06825774871179,1.7894736842105263
Southampton,GoalRate,50.448892590041964,0.1111111111111111
Southampton,ShotsPerGame,45.49455260191685,11.131578947368421
Tottenham,GFPerGame,60.04256344608887,1.7894736842105263
Tottenham,PassAccuracy,53.45317578378819,80.2
Tottenham,AveragePossession,52.06604678279956,51.6
Tottenham,GAPerGame,55.51052392607066,1.1842105263157894
Tottenham,GoalRate,66.84087614107905,0.15315315315315314
Tottenham,ShotsPerGame,48.09384917773405,11.68421052631579
West Brom,GFPerGame,40.31609953412858,0.9210526315789473
West Brom,PassAccuracy,31.831467228761603,69.9
West Brom,AveragePossession,34.264260037922774,37.9
West Brom,GAPerGame,27.9579042957174,2.0
West Brom,GoalRate,47.26347561846438,0.10294117647058823
West Brom,ShotsPerGame,35.221142326067906,8.947368421052632
West Ham,GFPerGame,56.45593364391427,1.631578947368421
West Ham,PassAccuracy,43.16712025761048,75.3
West Ham,AveragePossession,41.151082647254675,43.2
West Ham,GAPerGame,53.73293556282206,1.236842105263158
West Ham,GoalRate,58.779983131091036,0.13247863247863248
West Ham,ShotsPerGame,51.06447383581085,12.31578947368421
Wolves,GFPerGame,40.91387116782435,0.9473684210526315
Wolves,PassAccuracy,54.92261228752787,80.9
Wolves,AveragePossession,49.07742565044798,49.3
Wolves,GAPerGame,49.288964654700564,1.368421052631579
Wolves,GoalRate,37.50865325615277,0.07792207792207792
Wolves,ShotsPerGame,50.32181767129165,12.157894736842104
