Team,variable,value,value_org
Arsenal,GFPerGame,60.735311156247604,1.9210526315789473
Arsenal,PassAccuracy,58.905827790505406,81.7
Arsenal,AveragePossession,59.63223514763264,58.1
Arsenal,GAPerGame,51.65051133421616,1.3421052631578947
Arsenal,GoalRate,68.46791509933804,0.15665236051502146
Arsenal,ShotsPerGame,48.18513181336821,12.263157894736842
Bournemouth,GFPerGame,51.328079730669806,1.4736842105263157
Bournemouth,PassAccuracy,50.28193495798621,76.5
Bournemouth,AveragePossession,46.3300115158835,46.9
Bournemouth,GAPerGame,39.58908235340577,1.8421052631578947
Bournemouth,GoalRate,56.06645260195864,0.12527964205816555
Bournemouth,ShotsPerGame,45.77376848847281,11.763157894736842
Brighton,GFPerGame,39.707382087309,0.9210526315789473
Brighton,PassAccuracy,43.8140153335968,72.6
Brighton,AveragePossession,40.98536809241286,42.4
Brighton,GAPerGame,45.937202869621764,1.5789473684210527
Brighton,GoalRate,44.44905171253524,0.0958904109589041
Brighton,ShotsPerGame,35.3668320336611,9.605263157894736
Burnley,GFPerGame,45.24104763176652,1.1842105263157894
Burnley,PassAccuracy,37.01440752334129,68.5
Burnley,AveragePossession,39.56012984615403,41.2
Burnley,GAPerGame,40.85870645664897,1.7894736842105263
Burnley,GoalRate,56.0935489939007,0.12534818941504178
Burnley,ShotsPerGame,34.60534887843097,9.447368421052632
Cardiff,GFPerGame,39.15401553286324,0.8947368421052632
Cardiff,PassAccuracy,24.90778873922781,61.2
Cardiff,AveragePossession,32.67147832256965,35.4
Cardiff,GAPerGame,40.223894405027366,1.8157894736842106
Cardiff,GoalRate,38.774346915774345,0.0815347721822542
Cardiff,ShotsPerGame,41.96635271232218,10.973684210526315
Chelsea,GFPerGame,55.20164561179008,1.6578947368421053
Chelsea,PassAccuracy,65.70543560076092,85.8
Chelsea,AveragePossession,65.33318813266798,62.9
Chelsea,GAPerGame,59.26825595367536,1.0263157894736843
Chelsea,GoalRate,47.639072286313095,0.10396039603960396
Chelsea,ShotsPerGame,65.95307210207113,15.947368421052632
Crystal Palace,GFPerGame,48.56124695844104,1.3421052631578947
Crystal Palace,PassAccuracy,48.291805842789465,75.3
Crystal Palace,AveragePossession,44.310924000350155,45.2
Crystal Palace,GAPerGame,50.38088723097297,1.394736842105263
Crystal Palace,GoalRate,47.60320236697557,0.10386965376782077
Crystal Palace,ShotsPerGame,51.35797829349373,12.921052631578947
Everton,GFPerGame,50.2213466217783,1.4210526315789473
Everton,PassAccuracy,47.96011765692334,75.1
Everton,AveragePossession,51.79342479320904,51.5
Everton,GAPerGame,54.82457159232416,1.2105263157894737
Everton,GoalRate,49.66713578631151,0.10909090909090909
Everton,ShotsPerGame,51.86563373031382,13.026315789473685
