date,team,player,value,player_team,cum_sum,pk
2020-09-12,Arsenal,Alexandre Lacazette,1,alexandrelacazette_arsenal,1.0,0.0
2020-09-12,Newcastle Utd,Callum Wilson,1,callumwilson_newcastleutd,1.0,0.0
2020-09-12,Liverpool,Mohamed Salah,3,mohamedsalah_liverpool,3.0,2.0
2020-09-12,Leeds United,Patrick Bamford,1,patrickbamford_leedsunited,1.0,0.0
2020-09-12,Arsenal,Pierre-Emerick Aubameyang,1,pierreemerickaubameyang_arsenal,1.0,0.0
2020-09-12,Crystal Palace,Wilfried Zaha,1,wilfriedzaha_crystalpalace,1.0,0.0
2020-09-13,Everton,Dominic Calvert-Lewin,1,dominiccalvertlewin_everton,1.0,0.0
2020-09-13,Leicester City,Jamie Vardy,2,jamievardy_leicestercity,2.0,2.0
2020-09-19,Arsenal,Alexandre Lacazette,1,alexandrelacazette_arsenal,2.0,0.0
2020-09-19,Everton,Dominic Calvert-Lewin,3,dominiccalvertlewin_everton,4.0,0.0
2020-09-19,West Brom,Matheus Pereira,1,matheuspereira_westbrom,1.0,0.0
2020-09-19,West Ham,Michail Antonio,1,michailantonio_westham,1.0,0.0
2020-09-19,Leeds United,Patrick Bamford,1,patrickbamford_leedsunited,2.0,0.0
2020-09-19,Crystal Palace,Wilfried Zaha,2,wilfriedzaha_crystalpalace,3.0,1.0
2020-09-20,Burnley,Chris Wood,1,chriswood_burnley,1.0,0.0
2020-09-20,Southampton,Danny Ings,2,dannyings_southampton,2.0,1.0
2020-09-20,Tottenham,Harry Kane,1,harrykane_tottenham,1.0,0.0
2020-09-20,Leicester City,Harvey Barnes,1,harveybarnes_leicestercity,1.0,0.0
2020-09-20,Liverpool,Sadio Mane,2,sadiomane_liverpool,2.0,0.0
2020-09-20,Tottenham,Son Heung-min,4,sonheungmin_tottenham,4.0,0.0
2020-09-21,Manchester City,Gabriel Jesus,1,gabrieljesus_manchestercity,1.0,0.0
2020-09-21,Manchester City,Phil Foden,1,philfoden_manchestercity,1.0,0.0
2020-09-26,Manchester Utd,Bruno Fernandes,1,brunofernandes_manchesterutd,1.0,1.0
2020-09-26,Southampton,Danny Ings,1,dannyings_southampton,3.0,1.0
2020-09-26,Everton,Dominic Calvert-Lewin,1,dominiccalvertlewin_everton,5.0,0.0
2020-09-26,Manchester Utd,Marcus Rashford,1,marcusrashford_manchesterutd,1.0,0.0
