Team,CumPts,AvgGF,AvgGA,rank,HPts,AvgHGF,AvgHGA,APts,AvgAGF,AvgAGA,season
Burnley,35,0.8947368421052632,1.394736842105263,18,21,0.9473684210526315,1.3157894736842106,14,0.8421052631578947,1.4736842105263157,2021_2022
Watford,23,0.8947368421052632,2.026315789473684,19,8,0.8947368421052632,2.4210526315789473,15,0.8947368421052632,1.631578947368421,2021_2022
Norwich,22,0.6052631578947368,2.210526315789474,20,12,0.631578947368421,2.263157894736842,10,0.5789473684210527,2.1578947368421053,2021_2022
Man City,86,2.1842105263157894,0.8421052631578947,1,41,2.263157894736842,0.8947368421052632,45,2.1052631578947367,0.7894736842105263,2020_2021
Man United,74,1.9210526315789473,1.1578947368421053,2,31,2.0,1.4736842105263157,43,1.8421052631578947,0.8421052631578947,2020_2021
Liverpool,69,1.7894736842105263,1.105263157894737,3,33,1.5263157894736843,1.0526315789473684,36,2.0526315789473686,1.1578947368421053,2020_2021
Chelsea,67,1.5263157894736843,0.9473684210526315,4,33,1.631578947368421,0.9473684210526315,34,1.4210526315789473,0.9473684210526315,2020_2021
Leicester,66,1.7894736842105263,1.3157894736842106,5,28,1.7894736842105263,1.5789473684210527,38,1.7894736842105263,1.0526315789473684,2020_2021
West Ham,65,1.631578947368421,1.236842105263158,6,34,1.6842105263157894,1.1578947368421053,31,1.5789473684210527,1.3157894736842106,2020_2021
Tottenham,62,1.7894736842105263,1.1842105263157894,7,33,1.8421052631578947,1.0526315789473684,29,1.736842105263158,1.3157894736842106,2020_2021
Arsenal,61,1.4473684210526316,1.0263157894736843,8,28,1.263157894736842,1.105263157894737,33,1.631578947368421,0.9473684210526315,2020_2021
Leeds,59,1.631578947368421,1.4210526315789473,9,29,1.4736842105263157,1.105263157894737,30,1.7894736842105263,1.736842105263158,2020_2021
Everton,59,1.236842105263158,1.263157894736842,10,22,1.263157894736842,1.4736842105263157,37,1.2105263157894737,1.0526315789473684,2020_2021
Aston Villa,55,1.4473684210526316,1.2105263157894737,11,25,1.5263157894736843,1.4210526315789473,30,1.368421052631579,1.0,2020_2021
Newcastle,45,1.2105263157894737,1.631578947368421,12,23,1.368421052631579,1.736842105263158,22,1.0526315789473684,1.5263157894736843,2020_2021
Wolves,45,0.9473684210526315,1.368421052631579,13,25,1.105263157894737,1.3157894736842106,20,0.7894736842105263,1.4210526315789473,2020_2021
Crystal Palace,44,1.0789473684210527,1.736842105263158,14,23,1.0526315789473684,1.6842105263157894,21,1.105263157894737,1.7894736842105263,2020_2021
Southampton,43,1.236842105263158,1.7894736842105263,15,27,1.4736842105263157,1.3157894736842106,16,1.0,2.263157894736842,2020_2021
Brighton,41,1.0526315789473684,1.2105263157894737,16,21,1.1578947368421053,1.1578947368421053,20,0.9473684210526315,1.263157894736842,2020_2021
Burnley,39,0.868421052631579,1.4473684210526316,17,18,0.7368421052631579,1.4210526315789473,21,1.0,1.4736842105263157,2020_2021
Fulham,28,0.7105263157894737,1.394736842105263,18,10,0.47368421052631576,1.4736842105263157,18,0.9473684210526315,1.3157894736842106,2020_2021
West Brom,26,0.9210526315789473,2.0,19,15,0.7894736842105263,2.0526315789473686,11,1.0526315789473684,1.9473684210526316,2020_2021
Sheffield United,23,0.5263157894736842,1.6578947368421053,20,16,0.631578947368421,1.4210526315789473,7,0.42105263157894735,1.894736842105263,2020_2021
Liverpool,99,2.236842105263158,0.868421052631579,1,55,2.736842105263158,0.8421052631578947,44,1.736842105263158,0.8947368421052632,2019_2020
Man City,81,2.6842105263157894,0.9210526315789473,2,47,3.0,0.6842105263157895,34,2.3684210526315788,1.1578947368421053,2019_2020
Man United,66,1.736842105263158,0.9473684210526315,3,37,2.1052631578947367,0.8947368421052632,29,1.368421052631579,1.0,2019_2020
Chelsea,66,1.8157894736842106,1.4210526315789473,4,36,1.5789473684210527,0.8421052631578947,30,2.0526315789473686,2.0,2019_2020
Leicester,62,1.763157894736842,1.0789473684210527,5,37,1.8421052631578947,0.8947368421052632,25,1.6842105263157894,1.263157894736842,2019_2020
Tottenham,59,1.605263157894737,1.236842105263158,6,39,1.894736842105263,0.8947368421052632,20,1.3157894736842106,1.5789473684210527,2019_2020
Wolves,59,1.3421052631578947,1.0526315789473684,7,31,1.4210526315789473,1.0,28,1.263157894736842,1.105263157894737,2019_2020
Arsenal,56,1.4736842105263157,1.263157894736842,8,36,1.894736842105263,1.263157894736842,20,1.0526315789473684,1.263157894736842,2019_2020
Sheffield United,54,1.0263157894736843,1.0263157894736843,9,33,1.263157894736842,0.7894736842105263,21,0.7894736842105263,1.263157894736842,2019_2020
Burnley,54,1.131578947368421,1.3157894736842106,10,28,1.263157894736842,1.2105263157894737,26,1.0,1.4210526315789473,2019_2020
Southampton,52,1.3421052631578947,1.5789473684210527,11,21,1.105263157894737,1.8421052631578947,31,1.5789473684210527,1.3157894736842106,2019_2020
Everton,49,1.1578947368421053,1.4736842105263157,12,31,1.263157894736842,1.105263157894737,18,1.0526315789473684,1.8421052631578947,2019_2020
Newcastle,44,1.0,1.5263157894736843,13,26,1.0526315789473684,1.105263157894737,18,0.9473684210526315,1.9473684210526316,2019_2020
Crystal Palace,43,0.8157894736842105,1.3157894736842106,14,23,0.7894736842105263,1.0526315789473684,20,0.8421052631578947,1.5789473684210527,2019_2020
Brighton,41,1.0263157894736843,1.4210526315789473,15,22,1.0526315789473684,1.4210526315789473,19,1.0,1.4210526315789473,2019_2020
West Ham,39,1.2894736842105263,1.631578947368421,16,22,1.5789473684210527,1.736842105263158,17,1.0,1.5263157894736843,2019_2020
Aston Villa,35,1.0789473684210527,1.763157894736842,17,24,1.1578947368421053,1.5789473684210527,11,1.0,1.9473684210526316,2019_2020
Bournemouth,34,1.0526315789473684,1.7105263157894737,18,21,1.1578947368421053,1.5789473684210527,13,0.9473684210526315,1.8421052631578947,2019_2020
Watford,34,0.9473684210526315,1.6842105263157894,19,24,1.1578947368421053,1.4210526315789473,10,0.7368421052631579,1.9473684210526316,2019_2020
Norwich,21,0.6842105263157895,1.9736842105263157,20,15,1.0,1.9473684210526316,6,0.3684210526315789,2.0,2019_2020
Man City,98,2.5,0.6052631578947368,1,54,3.0,0.631578947368421,44,2.0,0.5789473684210527,2018_2019
Liverpool,97,2.3421052631578947,0.5789473684210527,2,53,2.8947368421052633,0.5263157894736842,44,1.7894736842105263,0.631578947368421,2018_2019
Chelsea,72,1.6578947368421053,1.0263157894736843,3,42,2.0526315789473686,0.631578947368421,30,1.263157894736842,1.4210526315789473,2018_2019
Tottenham,71,1.763157894736842,1.0263157894736843,4,38,1.7894736842105263,0.8421052631578947,33,1.736842105263158,1.2105263157894737,2018_2019
Arsenal,70,1.9210526315789473,1.3421052631578947,5,45,2.210526315789474,0.8421052631578947,25,1.631578947368421,1.8421052631578947,2018_2019
Man United,66,1.7105263157894737,1.4210526315789473,6,36,1.736842105263158,1.3157894736842106,30,1.6842105263157894,1.5263157894736843,2018_2019
Wolves,57,1.236842105263158,1.2105263157894737,7,34,1.4736842105263157,1.105263157894737,23,1.0,1.3157894736842106,2018_2019
Everton,54,1.4210526315789473,1.2105263157894737,8,34,1.5789473684210527,1.105263157894737,20,1.263157894736842,1.3157894736842106,2018_2019
Leicester,52,1.3421052631578947,1.263157894736842,9,27,1.263157894736842,1.0526315789473684,25,1.4210526315789473,1.4736842105263157,2018_2019
West Ham,52,1.368421052631579,1.4473684210526316,10,31,1.6842105263157894,1.4210526315789473,21,1.0526315789473684,1.4736842105263157,2018_2019
Watford,50,1.368421052631579,1.5526315789473684,11,27,1.368421052631579,1.4736842105263157,23,1.368421052631579,1.631578947368421,2018_2019
Crystal Palace,49,1.3421052631578947,1.394736842105263,12,20,1.0,1.2105263157894737,29,1.6842105263157894,1.5789473684210527,2018_2019
Newcastle,45,1.105263157894737,1.263157894736842,13,25,1.263157894736842,1.3157894736842106,20,0.9473684210526315,1.2105263157894737,2018_2019
Bournemouth,45,1.4736842105263157,1.8421052631578947,14,29,1.5789473684210527,1.3157894736842106,16,1.368421052631579,2.3684210526315788,2018_2019
Burnley,40,1.1842105263157894,1.7894736842105263,15,23,1.263157894736842,1.6842105263157894,17,1.105263157894737,1.894736842105263,2018_2019
Southampton,39,1.1842105263157894,1.7105263157894737,16,23,1.4210526315789473,1.5789473684210527,16,0.9473684210526315,1.8421052631578947,2018_2019
Brighton,36,0.9210526315789473,1.5789473684210527,17,23,1.0,1.4736842105263157,13,0.8421052631578947,1.6842105263157894,2018_2019
Cardiff,34,0.8947368421052632,1.8157894736842106,18,20,1.105263157894737,2.0,14,0.6842105263157895,1.631578947368421,2018_2019
Fulham,26,0.8947368421052632,2.1315789473684212,19,21,1.1578947368421053,1.894736842105263,5,0.631578947368421,2.3684210526315788,2018_2019
Huddersfield,16,0.5789473684210527,2.0,20,9,0.5263157894736842,1.631578947368421,7,0.631578947368421,2.3684210526315788,2018_2019
