Team,variable,value,value_org
Arsenal,GFPerGame,68.74284630080984,2.3714285714285714
Arsenal,PassAccuracy,60.909766890172264,83.1
Arsenal,AveragePossession,62.47320491376774,59.5
Arsenal,GAPerGame,59.37283666908805,1.1142857142857143
Arsenal,GoalRate,65.41449186905604,0.14981949458483754
Arsenal,ShotsPerGame,64.47246170509032,15.82857142857143
Aston Villa,GFPerGame,47.770366881183456,1.3142857142857143
Aston Villa,PassAccuracy,52.49966821680606,79.5
Aston Villa,AveragePossession,49.887390077783294,50.0
Aston Villa,GAPerGame,55.88275212683503,1.2285714285714286
Aston Villa,GoalRate,50.92221458248938,0.11358024691358025
Aston Villa,ShotsPerGame,45.32511275801777,11.571428571428571
Bournemouth,GFPerGame,42.66895296830136,1.0571428571428572
Bournemouth,PassAccuracy,43.15511413528803,75.5
Bournemouth,AveragePossession,36.374199411778946,39.8
Bournemouth,GAPerGame,34.942244873316895,1.9142857142857144
Bournemouth,GoalRate,49.93479340222152,0.1111111111111111
Bournemouth,ShotsPerGame,36.07270252855989,9.514285714285714
Brentford,GFPerGame,51.17130948977152,1.4857142857142858
Brentford,PassAccuracy,35.6794708700736,72.3
Brentford,AveragePossession,41.93845439189838,44.0
Brentford,GAPerGame,54.13770985570852,1.2857142857142858
Brentford,GoalRate,64.74611110623934,0.14814814814814814
Brentford,ShotsPerGame,38.38580508592436,10.028571428571428
Brighton,GFPerGame,59.570607144314764,1.9090909090909092
Brighton,PassAccuracy,62.7786777064759,83.9
Brighton,AveragePossession,64.06299205094473,60.7
Brighton,GAPerGame,51.75810675871783,1.3636363636363635
Brighton,GoalRate,52.32993213874485,0.1171003717472119
Brighton,ShotsPerGame,66.60643510818079,16.303030303030305
Chelsea,GFPerGame,41.53530543210534,1.0
Chelsea,PassAccuracy,61.61060844628615,83.4
Chelsea,AveragePossession,61.41334682231642,58.7
Chelsea,GAPerGame,58.372003601824325,1.1470588235294117
Chelsea,GoalRate,37.79725276591238,0.08076009501187649
Chelsea,ShotsPerGame,48.97240682314312,12.382352941176471
Crystal Palace,GFPerGame,41.53530543210534,1.0
Crystal Palace,PassAccuracy,46.42570806381935,76.9
Crystal Palace,AveragePossession,43.66072379050678,45.3
Crystal Palace,GAPerGame,53.26518872014527,1.3142857142857143
Crystal Palace,GoalRate,42.23757317808627,0.09186351706036745
Crystal Palace,ShotsPerGame,42.24097601486514,10.885714285714286
Everton,GFPerGame,39.834834127811305,0.9142857142857143
Everton,PassAccuracy,41.286203318984434,74.7
Everton,AveragePossession,40.48114951615281,42.9
Everton,GAPerGame,47.15754077120248,1.5142857142857142
