Date,Team,rank,position,CumPts
2019-08-09,Norwich,20.0,20,0.0
2019-08-10,Norwich,17.0,17,0.0
2019-08-11,Norwich,16.0,16,0.0
2019-08-17,Norwich,10.0,10,3.0
2019-08-18,Norwich,11.0,11,3.0
2019-08-19,Norwich,11.0,11,3.0
2019-08-23,Norwich,11.0,12,3.0
2019-08-24,Norwich,16.0,16,3.0
2019-08-25,Norwich,17.0,17,3.0
2019-08-31,Norwich,19.0,19,3.0
2019-09-01,Norwich,19.0,19,3.0
2019-09-14,Norwich,12.0,12,6.0
2019-09-15,Norwich,13.0,13,6.0
2019-09-16,Norwich,13.0,13,6.0
2019-09-20,Norwich,13.0,13,6.0
2019-09-21,Norwich,16.0,16,6.0
2019-09-22,Norwich,16.0,16,6.0
2019-09-28,Norwich,17.0,17,6.0
2019-09-29,Norwich,17.0,17,6.0
2019-09-30,Norwich,17.0,17,6.0
2019-10-05,Norwich,18.0,18,6.0
2019-10-06,Norwich,19.0,19,6.0
2019-10-19,Norwich,19.0,19,7.0
2019-10-20,Norwich,19.0,19,7.0
2019-10-21,Norwich,19.0,19,7.0
2019-10-25,Norwich,19.0,19,7.0
2019-10-26,Norwich,19.0,19,7.0
2019-10-27,Norwich,19.0,19,7.0
2019-11-02,Norwich,19.0,19,7.0
2019-11-03,Norwich,19.0,19,7.0
2019-11-08,Norwich,20.0,20,7.0
2019-11-09,Norwich,20.0,20,7.0
2019-11-10,Norwich,20.0,20,7.0
2019-11-23,Norwich,18.0,18,10.0
2019-11-24,Norwich,18.0,18,10.0
2019-11-25,Norwich,18.0,18,10.0
2019-11-30,Norwich,19.0,19,10.0
2019-12-01,Norwich,19.0,19,11.0
2019-12-03,Norwich,19.0,19,11.0
2019-12-04,Norwich,19.0,19,11.0
2019-12-05,Norwich,19.0,19,11.0
2019-12-07,Norwich,19.0,19,11.0
2019-12-08,Norwich,19.0,19,11.0
2019-12-09,Norwich,19.0,19,11.0
2019-12-14,Norwich,19.0,19,12.0
2019-12-15,Norwich,19.0,19,12.0
2019-12-16,Norwich,19.0,19,12.0
2019-12-21,Norwich,19.0,19,12.0
2019-12-22,Norwich,19.0,19,12.0
2019-12-26,Norwich,20.0,20,12.0
2019-12-27,Norwich,20.0,20,12.0
2019-12-28,Norwich,20.0,20,13.0
2019-12-29,Norwich,20.0,20,13.0
2020-01-01,Norwich,20.0,20,14.0
2020-01-02,Norwich,20.0,20,14.0
2020-01-10,Norwich,20.0,20,14.0
2020-01-11,Norwich,20.0,20,14.0
2020-01-12,Norwich,20.0,20,14.0
2020-01-18,Norwich,20.0,20,17.0
2020-01-19,Norwich,20.0,20,17.0
2020-01-21,Norwich,20.0,20,17.0
2020-01-22,Norwich,20.0,20,17.0
2020-01-23,Norwich,20.0,20,17.0
2020-01-29,Norwich,20.0,20,17.0
2020-02-01,Norwich,20.0,20,18.0
2020-02-02,Norwich,20.0,20,18.0
2020-02-08,Norwich,20.0,20,18.0
